产品网址：https://hawdar.com/index.php?id=57
产品结构：首页->产品中心->LNBs->Ka频段LNB->Surp@ssKaT系列Ka波段LNB三本振-

|产品名称|产品型号|功能描述|
|--|--|--|
|Surp@ss KaT 系列 Ka 波段 LNB 三本振|LNB-Ka150TA|产品可提供 1:1 或 1:2 冗余备份功能，可靠性更高。产品广泛应用于固定站和移动站。特点：宽工作频带、极低噪声温度、扩展频率定制、功耗低，性价比高、便于安装易于维护、内外参考自动切换。可选功能：1:1 或 1:2 冗余备份功能、超低损耗波导隔离器、LNB 电源监控及本振单元|

性能,参数,参数.1,参数.2
噪声温度,150K,150K,150K
增益,60dB  （其他增益可定制）,60dB  （其他增益可定制）,60dB  （其他增益可定制）
增益平坦度,≤  4dBp-p,≤  4dBp-p,≤  4dBp-p
输出饱和电平,≥10dBm,≥10dBm,≥10dBm
输入  /  输出驻波比,2.5/2.0  （选配波导隔离器，驻波不高于  1.35/1.5  ，噪声  170K  ）,2.5/2.0  （选配波导隔离器，驻波不高于  1.35/1.5  ，噪声  170K  ）,2.5/2.0  （选配波导隔离器，驻波不高于  1.35/1.5  ，噪声  170K  ）
相位噪声,≤  -60dBc/Hz  @100Hz,≤  -60dBc/Hz  @100Hz,≤  -60dBc/Hz  @100Hz
相位噪声,≤  -70dBc/Hz  @1KHz,≤  -70dBc/Hz  @1KHz,≤  -70dBc/Hz  @1KHz
相位噪声,≤  -80dBc/Hz  @10KHz,≤  -80dBc/Hz  @10KHz,≤  -80dBc/Hz  @10KHz
相位噪声,≤  -90dBc/Hz  @100KHz,≤  -90dBc/Hz  @100KHz,≤  -90dBc/Hz  @100KHz
本振控制,,LNB-Ka150TA,LNB-Ka150TB
本振控制,13V  供电时，  本振频率,16.35GHz,17.25GHz
本振控制,15V  供电时，  本振频率,17.35GHz,18.25GHz
本振控制,18V  供电时，  本振频率,18.35GHz,19.25GHz
工作电压,DC 12V  ～  24V,DC 12V  ～  24V,DC 12V  ～  24V
接口,输入：波导  BJ-220  对应法兰  FBM220  （  WR42-G  ）,输入：波导  BJ-220  对应法兰  FBM220  （  WR42-G  ）,输入：波导  BJ-220  对应法兰  FBM220  （  WR42-G  ）
接口,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）
外参考源要求,10MHz  ，  0  ±  3dBm,10MHz  ，  0  ±  3dBm,10MHz  ，  0  ±  3dBm
外形尺寸  /  重量,137mm×61mm×27mm  ，≤  400g,137mm×61mm×27mm  ，≤  400g,137mm×61mm×27mm  ，≤  400g
工作温度,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃
存储温度,-40  ℃～  +80  ℃,-40  ℃～  +80  ℃,-40  ℃～  +80  ℃
