产品网址：https://hawdar.com/index.php?id=139
产品结构：首页->产品中心->LNBs->X频段LNB->Surp@ssXS系列X波段LNB-

|产品名称|产品型号|功能描述|
|----|----|----|
|Surp@ss XS 系列 X 波段 LNB|LNB-X65SA|与公司 LNB 电源监控及本振单元配备使用，可提供 LNB 所需电源参考。特点：极低噪声温度、扩展频率定制、功耗低，性价比高、便于安装易于维护。可选功能：1:1 或 1:2 冗余备份功能、LNB 电源监控、过载保护、限幅保护功能|

性能,参数
噪声温度,65K
增益,60dB  （其他增益可定制）
增益平坦度,≤  1.5dBp-p/500MHz
输出饱和电平,≥10dBm
输入  /  输出驻波比,LNB-X75SA  （  7.25-7.75GHz  ）：  1.35/1.5  ，  LNB-X75SK  （  7.75-8.50GHz  ）：  2.0/2.0
相位噪声,≤  -60dBc/Hz  @100Hz
相位噪声,≤  -70dBc/Hz  @1KHz
相位噪声,≤  -80dBc/Hz  @10KHz
相位噪声,≤  -90dBc/Hz  @100KHz
工作电压,+15VDC  （  DC 12V  ～  24V  ）
接口,输入：波导  BJ84  对应法兰  FDM84
接口,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）
外参考源要求,10MHz  ，  0  ±  3dBm
外形尺寸  /  重量,136mm×64mm×45mm  ，≤  400g
工作温度,-40  ℃～  +60  ℃
存储温度,-40  ℃～  +80  ℃
