产品网址：https://hawdar.com/index.php?id=134
产品结构：首页->产品中心->LNBs->宽带LNB->Surp@ssW系列

|产品名称|产品型号|功能描述|
|--|--|--|
|Surp@ss W 系列宽带 LNB|无|与公司 LNB 电源监控及本振单元配备使用，可提供 LNB 所需电源参考。特点：极低噪声温度、宽工作频带、功耗低，性价比高、便于安装易于维护。可选功能：1:1 或 1:2 冗余备份功能、内外本振自动切换、LNB 电源监控及本振单元|

产品类型,噪声温度,型号,输入频率,输出频率,输出频率.1,增益,输入  /  输出驻波比
Ku  频段宽带  LNB,80K,LNB-Ku80WA,10.70-12.75GHz,950-3000 MHz,950-3000 MHz,60dB,2.5/2.0
Ku  频段宽带  LNB,80K,LNB-Ku80WB,10.95-12.75 GHz,950-2750 MHz,950-2750 MHz,60dB,2.5/2.0
Ka  频段宽带  LNB,170K,LNB-Ka170WA,17.70-19.70 GHz,950-2950 MHz,950-2950 MHz,60dB,2.5/2.0
Ka  频段宽带  LNB,170K,LNB-Ka170WB,19.20-21.20 GHz,950-2950 MHz,950-2950 MHz,60dB,2.5/2.0
参数,参数,参数,Ku  宽带,Ku  宽带,Ka  宽带,Ka  宽带,Ka  宽带
增益,增益,增益,≥60dB,≥60dB,≥60dB,≥60dB,≥60dB
增益平坦度,增益平坦度,增益平坦度,≤2.0dB,≤2.0dB,≤4.0dB,≤4.0dB,≤4.0dB
输出饱和电平,输出饱和电平,输出饱和电平,≥+10dBm,≥+10dBm,≥+5dBm,≥+5dBm,≥+5dBm
相位噪声,相位噪声,相位噪声,≤-60dBc/Hz@100Hz,≤-60dBc/Hz@100Hz,≤-60dBc/Hz@100Hz,≤-60dBc/Hz@100Hz,≤-60dBc/Hz@100Hz
相位噪声,相位噪声,相位噪声,≤-70dBc/Hz@1KHz,≤-70dBc/Hz@1KHz,≤-70dBc/Hz@1KHz,≤-70dBc/Hz@1KHz,≤-70dBc/Hz@1KHz
相位噪声,相位噪声,相位噪声,≤-80dBc/H@10KHz,≤-80dBc/H@10KHz,≤-80dBc/H@10KHz,≤-80dBc/H@10KHz,≤-80dBc/H@10KHz
相位噪声,相位噪声,相位噪声,≤-90dBc/Hz@100KHz,≤-90dBc/Hz@100KHz,≤-90dBc/Hz@100KHz,≤-90dBc/Hz@100KHz,≤-90dBc/Hz@100KHz
工作电压,工作电压,工作电压,+13VDC/+18VDC,+13VDC/+18VDC,+13VDC/+18VDC,+13VDC/+18VDC,+13VDC/+18VDC
接口,接口,接口,输入：波导  BJ-120  ）  波导对应法兰（  FBM120  ）,输入：波导  BJ-120  ）  波导对应法兰（  FBM120  ）,输入：波导  BJ-220  ）  波导对应法兰（  FBM220  ）,输入：波导  BJ-220  ）  波导对应法兰（  FBM220  ）,输入：波导  BJ-220  ）  波导对应法兰（  FBM220  ）
接口,接口,接口,"输出：  N-50K  （直流、时钟输入、中频输出）  ,F-75K(  英制  )","输出：  N-50K  （直流、时钟输入、中频输出）  ,F-75K(  英制  )","输出：  N-50K  （直流、时钟输入、中频输出）  ,F-75K(  英制  )","输出：  N-50K  （直流、时钟输入、中频输出）  ,F-75K(  英制  )","输出：  N-50K  （直流、时钟输入、中频输出）  ,F-75K(  英制  )"
工作温度,工作温度,工作温度,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃
外参考源要求,外参考源要求,外参考源要求,10MHz  ，  0  ±  3dBm,10MHz  ，  0  ±  3dBm,10MHz  ，  0  ±  3dBm,10MHz  ，  0  ±  3dBm,10MHz  ，  0  ±  3dBm
外形尺寸（  L  ×  W  ×  H  ）,外形尺寸（  L  ×  W  ×  H  ）,外形尺寸（  L  ×  W  ×  H  ）,144×48×42mm,144×48×42mm,135 x 65 x 37 mm,135 x 65 x 37 mm,135 x 65 x 37 mm
重量,重量,重量,≤440g,≤440g,≤400g,≤400g,≤400g
工作温度,工作温度,工作温度,-40~+60℃,-40~+60℃,-40~+60℃,-40~+60℃,-40~+60℃
