产品网址：https://hawdar.com/index.php?id=128
产品结构：首页->产品中心->抗5G干扰LNB、LNA->Surp@ssⅠ抗5G干扰LNB-

|产品名称|产品型号|功能描述|
|--|--|--|
|Surp@ss Ⅰ 抗 5G 干扰 LNB|LNB-C45SB/LNB-C45SD|可与公司 LNB 电源监控配备使用，提供外本振参考源。特点：极低噪声温度、良好的 5G 干扰信号抑制、干扰信号输入不饱和电平-20dBm、最大抗烧毁电平+20dBm、内/外参考 PLL。可选功能：1:1 或 1:2 冗余备份功能、通带可定制，优化抑制、LNB 电源监控|

频段,型号,噪声  温度,输入频率  输出频率,带外抑制,增益,输出功率（  P-1dB  ）
C-Band,LNB-C45SB,45K  典型值,3.7-4.2GHz  950-1450MHz,-80dB@3.4GHz  -40dB@3.5GHz  -25dB@3.6GHz  -50dB@4.6GHz  -100dB@4.8GHz,55~60dB,≥12dBm
C-Band,LNB-C45SD,45K  典型值,3.8-4.2GHz  950-1350MHz,-80dB@3.5GHz  -40dB@3.6GHz  -25dB@3.7GHz  -25dB@4.6GHz  -100dB@4.8GHz,55~60dB,≥12dBm
增益平坦度,增益平坦度,增益平坦度,≤4.0dB/500MHz,≤4.0dB/500MHz,≤4.0dB/500MHz,≤4.0dB/500MHz
频率稳定度,频率稳定度,频率稳定度,±1ppm,±1ppm,±1ppm,±1ppm
干扰信号输入不饱和电平,干扰信号输入不饱和电平,干扰信号输入不饱和电平,-20dBm,-20dBm,-20dBm,-20dBm
最大抗烧毁电平,最大抗烧毁电平,最大抗烧毁电平,+20dBm,+20dBm,+20dBm,+20dBm
相位噪声（内参考）,相位噪声（内参考）,相位噪声（内参考）,≤-65dBc/Hz @100Hz,≤-65dBc/Hz @100Hz,≤-65dBc/Hz @100Hz,≤-65dBc/Hz @100Hz
相位噪声（内参考）,相位噪声（内参考）,相位噪声（内参考）,≤-80dBc/Hz@1KHz,≤-80dBc/Hz@1KHz,≤-80dBc/Hz@1KHz,≤-80dBc/Hz@1KHz
相位噪声（内参考）,相位噪声（内参考）,相位噪声（内参考）,≤-83dBc/Hz@10KHz,≤-83dBc/Hz@10KHz,≤-83dBc/Hz@10KHz,≤-83dBc/Hz@10KHz
相位噪声（内参考）,相位噪声（内参考）,相位噪声（内参考）,≤-93dBc/Hz@100KHz,≤-93dBc/Hz@100KHz,≤-93dBc/Hz@100KHz,≤-93dBc/Hz@100KHz
工作电压，工作电流,工作电压，工作电流,工作电压，工作电流,12~18VDC  ，约  200mA,12~18VDC  ，约  200mA,12~18VDC  ，约  200mA,12~18VDC  ，约  200mA
接口,接口,接口,输入：波导（  BJ-40  ）  波导对应法兰（  FDM40  ）,输入：波导（  BJ-40  ）  波导对应法兰（  FDM40  ）,输入：波导（  BJ-40  ）  波导对应法兰（  FDM40  ）,输入：波导（  BJ-40  ）  波导对应法兰（  FDM40  ）
接口,接口,接口,"输出：  N-50K  （直流、时钟输入、中频输出）  SMA-50K,F-75K(  英制  )","输出：  N-50K  （直流、时钟输入、中频输出）  SMA-50K,F-75K(  英制  )","输出：  N-50K  （直流、时钟输入、中频输出）  SMA-50K,F-75K(  英制  )","输出：  N-50K  （直流、时钟输入、中频输出）  SMA-50K,F-75K(  英制  )"
工作温度,工作温度,工作温度,-40  ℃  ～  +60  ℃,-40  ℃  ～  +60  ℃,-40  ℃  ～  +60  ℃,-40  ℃  ～  +60  ℃
外参考源要求,外参考源要求,外参考源要求,10MHz  ，  0±3dBm,10MHz  ，  0±3dBm,10MHz  ，  0±3dBm,10MHz  ，  0±3dBm
重量（  g  ）,重量（  g  ）,重量（  g  ）,360g,360g,360g,360g
外形尺寸（  L×W×H  ）,外形尺寸（  L×W×H  ）,外形尺寸（  L×W×H  ）,154×100×70mm,154×100×70mm,154×100×70mm,154×100×70mm
