产品网址：https://hawdar.com/index.php?id=50
产品结构：首页->产品中心->抗5G干扰LNB、LNA->Surp@ssⅡ抗5G干扰LNB（增强型）-

|产品名称|产品型号|功能描述|
|--|--|--|
|Surp@ss Ⅱ 抗 5G 干扰 LNB（增强型）|LNB-C50SB/LNB-C50SC/LNB-C50SD|可与公司 LNB 电源监控配备使用，提供外本振参考源；具有极低噪声温度、良好的 5G 干扰信号抑制、干扰信号输入不饱和电平最大 0dBm、最大抗烧毁电平+20dBm、内/外参考 PLL 等特点；可选 1:1 或 1:2 冗余备份功能、通带可定制、优化抑制、LNB 电源监控等功能|

性能,性能.1,参数
噪声温度,噪声温度,50K
增益,增益,60dB  （其他增益可定制）
增益平坦度,增益平坦度,≤4.0dBp-p/500MHz
频率稳定度,频率稳定度,±1ppm
输出饱和电平,输出饱和电平,≥10dBm
带外抑制特性,LNB-C50SB,-60dB@3.4GHz  ，  -60dB@3.5GHz  ，  -50dB@3.6GHz  ，  -60dB@4.5GHz  ，  -60dB@4.8GHz  ，  -60dB@4.9GHz
带外抑制特性,LNB-C50SC,-60dB@3.4GHz  ，  -50dB@3.5GHz  ，  -36dB@3.6GHz  ，  -60dB@4.5GHz  ，  -60dB@4.8GHz  ，  -60dB@4.9GHz
带外抑制特性,LNB-C50SD,-60dB@3.5GHz  ，  -60dB@3.6GHz  ，  -50dB@3.7GHz  ，  -60dB@4.5GHz  ，  -60dB@4.8GHz  ，  -60dB@4.9GHz
5G  干扰信号输入不饱和电平,5G  干扰信号输入不饱和电平,0dBm  （  LNB-C50SC  在  3.6GHz  最大不饱和干扰电平为  -10dBm  ）
最大抗烧毁电平,最大抗烧毁电平,+20dBm
输入  /  输出驻波比,输入  /  输出驻波比,2.5/2.0
相位噪声,相位噪声,≤-65dBc/Hz @100Hz
相位噪声,相位噪声,≤-75dBc/Hz @1KHz
相位噪声,相位噪声,≤-83dBc/Hz @10KHz
相位噪声,相位噪声,≤-93dBc/Hz @100KHz
工作电压,工作电压,+15VDC  （  DC 12V  ～  18V  ）
接口,接口,输入：波导  BJ40  对应法兰  FDM40  （  CPR229-G  ）
接口,接口,输出：  N-50K  （或  SMA-50K  、  F-75K  可选，直流和时钟输入，中频输出）
外参考源要求,外参考源要求,10MHz  ，  0±3dBm
外形尺寸  /  重量,外形尺寸  /  重量,181mm×100mm×70mm  ，  720g
工作温度,工作温度,-40  ℃  ～  +60  ℃
存储温度,存储温度,-40  ℃  ～  +80  ℃
