产品网址：https://www.semitronix.com/product
产品结构：root->广立微

|产品名称|产品型号|功能描述|
|--|--|--|
|EDA 软件|SmtCell|功能强大的参数化单元版图设计工具，在设计 SPICE/Reliability/RF/Process/Yield 相关测试结构单元版图时，获得至少 10 倍的效率增益|
|EDA 软件|TCMagic|通用型的测试芯片版图自动化设计平台，为客户在工艺开发各阶段的测试芯片设计提供完整高效的解决方案|
|EDA 软件|ATCompiler|可寻址测试芯片版图自动化设计平台，满足集成电路工艺开发和制造过程监控的需求|
|EDA 软件|DFTEXP|提供领先的可测性设计自动化和成品率解决方案，轻松应对业界复杂的 SoC 芯片的量产测试、成品率提升的挑战|
|EDA 软件|CMPEXP|高效 CMP 建模与仿真工具，可保障芯片的可制造性和成品率，解决行业痛点|
|EDA 软件|ICSpider|产品芯片成品率和性能诊断的定制化测试芯片设计工具|
|EDA 软件|Dense Array|基于超高密度测试芯片设计及快速测试技术的版图自动化设计软件，满足工艺开发下百万分率、甚至十亿分率的异常点检测的需求|
|EDA 软件|DataExp|结合“快捷报表浏览”和“灵活深入分析”于一体的分析平台，能够有效地帮助半导体企业发挥数据价值，提升成品率和提高产品性能|
|晶圆级电性参数测试设备|无|在集成电路的产品开发、工艺制造和产品验证过程中，对电性参数测试的需求日益提高，Semitronix 广立微经过十余年，自主研发高效电性参数测试设备和解决方案，已成功进入国内外多家领先的芯片设计类（Fabless）企业、代工制造类(Foundry）企业、垂直整合制造类（IDM）企业和研发实验室（R&D Lab），协助完成多种测试任务,并且高效、精确地提取器件和工艺相关的电性参数，实现以数据驱动芯片产品的功耗-性能-面积-成本(PPAC) 优化、可靠性以及成品率提升|
|成品率提升技术服务|无|在 IC 产品的更高性能和更低成本的需求持续驱动下，需要新的技术节点的开发和现有工艺的优化改善去支持 IC 产品研发与生产。广立微基于电性测试的全套解决方案能够极大的缩短研发周期，提升成品率。通过简洁的一站式 test chip 设计、测试、分析及服务，客户能够缩短学习周期（learning cycle），同时对研发过程情况有深度的认识，加快客户研发进度、提高研发质量|
