产品网址：http://www.zxec.com/product.html
产品结构：root->产品中心

|产品名称|产品型号|功能描述|
|--|--|--|
|汽车电装|无|是车体汽车电子装置和车载汽车电子装置的总称，包括电池控制系统、车身电子控制系统、电机控制系统、智能座舱及智能网联电动车内的各式应用等|
|智能终端|无|产品包含智能电视机零组件、智能机顶盒、网通网关、智能监控、智能电表等各类智能终端|
|消费电子|无|产品主要 OA 零组件、服务器结构件、消费电子结构件等|
|OA 组件产品|无|兴瑞科技是一家精密零组件制造及研发企业，产品广泛应用于智能终端、汽车电子及新能源汽车三电系统和消费电子等领域|
|通讯组件产品|无|兴瑞科技是一家精密零组件制造及研发企业，产品广泛应用于智能终端、汽车电子及新能源汽车三电系统和消费电子等领域|
|影音娱乐组件产品|无|兴瑞科技是一家精密零组件制造及研发企业，产品广泛应用于智能终端、汽车电子及新能源汽车三电系统和消费电子等领域|
|电子组件产品|无|兴瑞科技是一家精密零组件制造及研发企业，产品广泛应用于智能终端、汽车电子及新能源汽车三电系统和消费电子等领域|
|结构件产品|无|兴瑞科技是一家精密零组件制造及研发企业，产品广泛应用于智能终端、汽车电子及新能源汽车三电系统和消费电子等领域|
|连接器组件产品|无|兴瑞科技是一家精密零组件制造及研发企业，产品广泛应用于智能终端、汽车电子及新能源汽车三电系统和消费电子等领域|
