产品网址：https://korea.tiandy.com/index.php?s=/Home/Product/detail/id/636.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|네트워크 비디오 레코더|TC-R3210|H.265 2HDD 10ch Face Recognition NVR，支持 H.265、H.264 视频格式，最高 6MP 分辨率，1×HDMI 和 1×VGA 同时输出，2 个 SATA 接口，最高 10TB 硬盘容量，支持 1:N 人脸识别，可连接 Tiandy 智能 IP 摄像机，实现 VCA 报警的录制、回放和备份，支持 VCA 检测报警，Web6 支持无插件浏览，可在所有浏览器上预览视频，支持云升级|

Input,Unnamed: 1
Video Input,10-ch
Max Resolution,6MP
Two-way Audio Input,"1-ch, 3.5mm"
Bandwidth,Income 80Mbps; Outgoing 80Mbps
Output,
HDMI/VGA Output,"HDMI 1-ch, 1920  ×1080, 1280×720, 1024×768, 1366×768, 1440×900, 1280×800"
HDMI/VGA Output,"VGA 1-ch, 1920  ×1080, 1280×720, 1024×768, 1366×768, 1440×900, 1280×800"
Screen Split,1/3/4/5/6/7/8/9/10
Audio Output,1  ×RCA
Decoding,
Decoding Format,S+265/H.265/H.264
Recording Resolution,6MP/5MP/4MP/3MP/1080P/UXGA/720P/VGA/4CIF/DCIF/2CIF/CIF/QCIF
Preview Capability,"1  ×6MP, 1×5MP, 1×4MP, 2×3MP, 3×1080P, 6×720P"
Synchronous Playback,"1  ×6MP, 1×5MP, 1×4MP, 2×3MP, 3×1080P, 6×720P"
Records Encryption,Yes
Hard Disk,
SATA,2 SATA interface for 2 HDDs
Capacity,Up to 10TB for each HDD
eSATA Interface,
Array Type,
External Interface,
Network Interface,1  ×RJ45 self-adaptive 10/100/100 Mbps network interface
USB Interface,2  ×USB 2.0
Serial Interface,
Alarm In/Out,0/1
Face Recognition,
Base Libraries,32
Face Pictures,10000
Video Stream for Recognition,1
Picture Stream for Recognition,10
Face Picture Search,Yes
Network,
Protocol,"HTTP, HTTPS, TCP/IP, UDP, UPnP, ICMP, IGMP, DHCP, DNS, DDNS, EasyDDNS, NTP, SMTP, SSL, QoS, IPv4, IPv6, IP Filter, Telnet, SSH, RTSP, RTP, RTCP, ARP"
System Compatibility,"ONVIF, SDK, P2P"
General,
Web Version,Web6
Language,"Chinese, English"
Operating Conditions,"-10  ～55℃, 10%~90% RH"
Power Supply,DC12V 3.3A
Consumption  (without HDD),≤10W
Chassis,1U
Dimensions,"47.1  ×272.6×341mm, (1.85×10.73×13.43 inch)"
Weight (without HDD),1.6Kg (3.53lb)


날짜,제목,유형
2022-12-21,TC-R3210 Spec I-F,pdf
