产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/1144.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|4MP Fixed IR Bullet Camera|TC-C34QN|• Metal+plastic housing<br>• Up to Max. 2560×1440 resolution<br>• S+265/H.265/H.264B/H.264M/H.264H<br>• Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR<br>• Smart IR,IR range 30m<br>• Support smart surveillance<br>• Operating conditions -30℃~60℃, Humidity 95% or less (no condensation)<br>• POE 802.3af,Max. 6W<br>• IP67|

Camera,Unnamed: 1
Image Sensor,"1/3""CMOS"
Min. Illumination,"Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR"
Shutter Time,1s~1/100000s
Day&Night,IR-cut filter with auto switch (ICR)
WDR,DWDR
S/N,>40dB
Angle Adjustment,0~360°(P); 0~80°(T); 0~360°(R)
Lens,
Lens Type,Fixed focal lens
Focal Length,4mm
Lens Mount,M12
Aperture Range,F1.6
Field of View,78.3°(H); 44.1°(V); 89.3°(D)
DORI Distance,Detect:80.0m Observe:31.8m Recognize:16.0m Identify:8.0m
Illuminator,
IR LEDs,2
IR Distance,30m
Wavelength,850nm
Compression Standard,
Video Compression,S+265/H.265/H.264B/H.264M/H.264H
Video Bit Rate,32k~6Mbps
Audio Compression,G.711A/G.711U
Audio Sampling Rate,8kHz
Image,
Max. Resolution,2560×1440@20fps
Main Stream,"PAL:20fps(2560×1440, 2304×1296, 1920×1080, 1280×720) NTSC:20fps(2560×1440, 2304×1296, 1920×1080, 1280×720)"
Sub Stream,"PAL:20fps(704×576, 704×288, 352×288, 640×360) NTSC:20fps(704×480, 704×240, 352×240, 640×360)"
BLC,Yes
HLC,Yes
AGC,Yes
3D DNR,Yes
White Balance,Auto/Semi-Auto/Manual/Sunshine/Nature Light/Warmlight Lamp/Daylight Lamp/Filament Lamp/Lock White Balance
OSD,"Overlay of additional characters in 1 regions, 1 line, with a maximum of 48 characters or 16 Chinese characters per region; 16*16/32*32/48*48/64*64"
Privacy Mask,4 black static areas
Defog,Yes
Feature,
Alarm Trigger,Motion Detection; IP Address Conflict
Linkage Method,trigger capture
Network,
Protocols,HTTP; TCP/IP; UDP; ICMP; DHCP; DNS; NTP; IPv4; Telnet; Unicast
System Compatibility,ONVIF Profile S/T; CGI; Milestone
Remote Connection,≤2
Client,Easy7 Smart Client
Moblie Client,EasyLive Plus
Interface,
Communication Interface,"1*RJ-45,10/100 Mbps self-adaptive Ethernet port"
General,
Web Client Language,12 languages English/Spanish/Italian/Turkish/Russian/Thai/French/Polish/Arabic/Vietnamese/Portuguese/Japanese
Operating Temperature,-30℃~60℃
Operating Humidity,Humidity 95% or less (no condensation)
Storage Temperature,-30℃~60℃
Storage Humidity,Humidity 95% or less (no condensation)
Power Supply,"POE 802.3af,MAX 6W"
Protection,Surge4000V; ESD6000V; IP67
Boundary Dimensions,164(L)73(W)73(H)mm
Package Dimensions,180(L)90(W)95(H)mm
GrossWeight,0.3kg


Date,Title,Type
2024-05-08,TC-C34QN I3E4mmVJO5.0,pdf
