产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/720.html#
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|NVR|AK|H.265 1HDD 8ch PSE NVR，具有以下功能：<br>- 最多支持 8 路 IP 摄像机输入<br>- 访问/转发带宽为 60Mbps/40Mbps<br>- 支持 S+265、H.265、S+264、H.264 视频格式<br>- 6MP(30fps)×1、5MP(30fps)×1、4MP(30fps)×2、3MP(30fps)×2、1080P(30fps)×4 预览解码能力<br>- 4 路同步回放<br>- 6MP(30fps)×1、5MP(30fps)×1、4MP(30fps)×1、3MP(30fps)×2、1080P(30fps)×3 回放解码能力<br>- 每个 HDD 最大容量为 6TB<br>- 1×HDMI 输出<br>- HDMI 输出最高可达 4K 分辨率<br>- 1×RJ-45，10/100 Mbps 自适应以太网端口<br>- PoE 接口，8×RJ45，10/100 Mbps 自适应以太网端口<br>- S+265 压缩有效减少存储空间高达 75%<br>- 支持云升级|

Video and Audio,Unnamed: 1
Access Channel,8
Incoming Bandwidth,60Mbps
Outgoing Bandwidth,40Mbps
Resolution,6MP/5MP/4MP/3MP/1080P/UXGA/720P/VGA/4CIF/DCIF/2CIF/CIF/QCIF
Preview Decoding Capability,"6MP(30fps)×1, 5MP(30fps)×1, 4MP(30fps)×2, 3MP(30fps)×2, 1080P(30fps)×4, 720P(30fps)×8, 4CIF(30fps)×8"
Third-party Camera Access,ONVIF; RTSP
HDMI Output,"HDMI:1024×768(60Hz), (720P )1280×720(50Hz/60Hz), 1280×800(60Hz), 1440×900(60Hz), (1080P)1920×1080(50Hz/60Hz), (4K)3840×2160(30Hz)"
Multi-screen Display,1/3/4/5/6/7/8/9
Compression,
Video,S+265; H.265; S+264; H.264
Audio,G711A; G711U; ADPCM_DIV4
Stream Type,Video; Video & Audio
Network,
Network Protocol,ARP; DDNS; DHCP; DNS; Easy DDNS; HTTP; ICMP; IGMP; IPv4; IPv6; NTP; RTCP; RTP; RTSP; SSH; TCP/IP; UDP; UPnP
Mobile Phone Access,Android; iOS; P2P_A
System Compatibility,CGI; SDK
Web,IE10+; Firefox52+; Edge89+; Safari11+; Chrome57+
Record Playback,
Multi-channel Playback,4
Record Mode,Alarm recording; Schedule recording
Storage Method,Local HDD
Backup,USB storage device
Playback Function,Play/Pause/Stop/Slow/Speed/Backwards 30s/Forwards 30s/Full screen/backup (video Editing)
Alarm,
General Alarm,Motion; Mask Alarm; Video Loss
Exceptions Alarm,IP Conflict; MAC Conflict; Network Disconnected; No disk; Illegal Access; Disk Full; Disk R/W error; Video Abnormal; Abnormal found in smart of disk; Abnormal temperature of the disk; PoE overloaded; IPC voltage abnormal; RTC failure
Intelligent Analytics,
AI by Camera,Advanced Intelligence
Storage,
HDD Capacity,Up to 6TB capacity for each HDD
External Port,
USB,2×USB2.0
HDMI,1×HDMI
Network Interface,"1×RJ-45, 10/100 Mbps self-adaptive Ethernet port"
SATA,1×SATA interface
PoE,
PoE Interface,"8×RJ45, 10/100 Mbps self-adaptive Ethernet port"
PoE Budget,45W
Power per PoE Port,30W
Standard,IEEE 802.3 af/at
General,
UI Language,English; Spanish; Italian; Turkish; French; Polish; Dutch; Hebrew; German; Portuguese
Power Supply,DC48V 1.35A
Power Consumption,<10W(without HDD&without PoE)
NetWeight,0.45kg
GrossWeight,0.85kg
Boundary Dimensions,200(L)200(W)43(H)mm
Package Dimensions,315(L)70(W)235(H)mm
Operating Temperature,-10℃~+55℃
Operating Humidity,10%~90%RH
Storage Temperature,-10℃~+55℃
Storage Humidity,10%~90%RH
Package Kit,Network Video Recorder; Screw pack; Mouse; Power adapter


Date,Title,Type
2024-04-07,1D.20030.020377_TC-R3108 IBP8CEuLS_en,pdf
