产品网址：https://www.dtc-solutions.cn/product/7162.html#
产品结构：root->MIMO振动控制器|腾振科技

|产品名称|MIMO 振动控制器|
|--|--|
|产品型号|VESSTA 4EX/9EX/18EX|
|功能描述|基于 PXIe 总线与多 DSP 板卡结构，通过不同数量数据采集板卡和输出板卡的组合，可轻松实现对通道规模灵活搭配的需求，其分布式采集、集中式处理、单向高达 250MB/s 的传输速度能够保证多通道并行采集与实时闭环控制。软件功能包括随机、正弦、共振搜索与驻留、经典冲击、冲击响应谱、瞬态冲击、长时波形复现等。特点包括单台可多达 16 个输出通道，同时控制 16 个振动台；高精度；强大的传输、处理能力；输出通道全隔离设计；低功耗；扩展性好；功能强大；同一个输入通道支持电压、IEPE、电荷、TEDS 输入；完善的 MIMO 试验功能；扩展功能；无缝数据记录与离线分析；可作为单轴控制器使用；网络接口，Windows 计算机装好 MIMO 控制器接入局域网，PC 可实现远程控制；控制算法基于阻抗矩阵补偿的解耦控制，在线修正控制误差，可适应各种情况引起的系统性非线性变化。典型应用包括细长型结构的双台同步并激试验、四轮汽车的四台异步并激道路谱模拟试验、多个同向或多方向电动振动台或液压振动台 MIMO 试验。|

Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
仪器型号,仪器型号,VESSTA 4EX,VESSTA 9EX,VESSTA 18EX
插槽数,插槽数,4,9,18
输出通道,输出通道,最多  8  个,最多  16  个,最多  16  个
输入通道,输入通道,最多  16  个,最多  56  个,最多  128  个
Abort  接口,Abort  接口,✓,✓,✓
输入模式,AC  单端  /  差分,✓,✓,✓
输入模式,DC  单端  /  差分,✓,✓,✓
输入模式,ICP,✓,✓,✓
输入模式,电荷,✓,✓,✓
输入模式,TEDS,✓,✓,✓
数字  I/O,数字  I/O,可配置数字  I/O  板卡，  8  位输入，  8  位输出,可配置数字  I/O  板卡，  8  位输入，  8  位输出,可配置数字  I/O  板卡，  8  位输入，  8  位输出
总线,总线,PXIe  总线,PXIe  总线,PXIe  总线
嵌入式电脑,嵌入式电脑,实时操作系统,实时操作系统,实时操作系统
内置硬盘,内置硬盘,250 GB,250 GB,250 GB
DSP,DSP,450 MHz  的  32  位浮点  DSP,450 MHz  的  32  位浮点  DSP,450 MHz  的  32  位浮点  DSP
尺寸,尺寸,257*192*215 mm,356*192*215 mm,465*192*468 mm
重量,重量,约  8.5 kg,约  12 kg,约  21 kg
电源,电源,电压范围  (100  ～  240)VAC  ，频率范围  (50  ～  60)Hz,电压范围  (100  ～  240)VAC  ，频率范围  (50  ～  60)Hz,电压范围  (100  ～  240)VAC  ，频率范围  (50  ～  60)Hz
电源,电源,额定功率  80 W,额定功率  130 W,额定功率  180 W
主机箱接口,主机箱接口,千兆以太网接口,千兆以太网接口,千兆以太网接口
软件运行环境,软件运行环境,Microsoft Windows XP/7/8/10,Microsoft Windows XP/7/8/10,Microsoft Windows XP/7/8/10
MIMO  控制功能,MIMO  控制功能,随机、正弦、  RSTD  、经典冲击、冲击响应谱控制、瞬态冲击、长时波形复现,随机、正弦、  RSTD  、经典冲击、冲击响应谱控制、瞬态冲击、长时波形复现,随机、正弦、  RSTD  、经典冲击、冲击响应谱控制、瞬态冲击、长时波形复现
