产品网址：https://www.sensylink.com/html/web//product/szjqic/I2Ckgdlfyq/index.html
产品结构：首页->产品中心->数字接口IC->I2C接口控制开关

|产品名称|产品型号|功能描述|
|--|--|--|
|I2C 接口控制开关|CA9540|通过 I2C 总线接口将上游 I2C 总线连接到下游 I2C 总线的任何组合|
|I2C 接口控制开关|CA9541|2-to-1 I2C/SMBus Master Selector with Interrupt and Reset|
|I2C 接口控制开关|CA9641|2-to-1 I2C/SMBus Master Selector with an Arbiter Function|
|I2C 接口控制开关|CA9542|Low Voltage Bidirectional 2-Channel I2C/SMBus Multiplexer with Interrupt|
|I2C 接口控制开关|CA9543|Low Voltage Bidirectional 2-Channel I2C/SMBus Switch with Interrupt and Reset|
|I2C 接口控制开关|CA9544|Low Voltage Bidirectional 4-Channel I2C/SMBus Switch with Interrupt|
|I2C 接口控制开关|CA9545|Low Voltage Bidirectional 4-Channel I2C/SMBus Switch with Interrupt and Reset|
|I2C 接口控制开关|CA9546|Low Voltage Bidirectional 4-Channel I2C/SMBus Switch with Reset|
|I2C 接口控制开关|CA9548|Low Voltage Bidirectional 8-Channel I2C/SMBus Switch with Reset|
