产品网址：https://www.xlsemi.com/products_DC_DC_buck_hv.html
产品结构：root->上海芯龙半导体技术股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|高压降压电源芯片|无|用于便携式设备、移动设备、车载设备的电源变换；常用于蓄电池供电设备的电源管理（支持的蓄电池电压有 12V、24V、36V、48V、60V、72V、84V 等），芯龙技术采用业界先进的制造工艺，提供输入电压从 5V 到 100V，输出电流能力从 0 到 2.1A，开关频率不同，封装外形不同，高效率，高功率密度，高性价比的全系列高压降压开关直流电源变换芯片|

型号,产品特征,功率,输入电压,频率,开关电流,电压精度,效率,输出电压,基准电压,封装,演示版说明,规格书
XL7005A,高压恒压、使能,5W,5~100V,150KHz,0.4A,±2%,87%,ADJ,1.25V,SOP8-EP,,
XL7015,高压恒压、使能,8W,5~100V,150KHz,0.8A,±2%,87%,ADJ,1.25V,TO252-5L,,
XL1509A,高压恒压、使能,8W,5~60V,150KHz,2A,±1.5%,87%,ADJ/3.3V/5V/12V,1.23V,SOP8,,
XL1507A,高压恒压、使能,20W,5~60V,150KHz,3A,±1.5%,87%,ADJ/5V,1.23V,TO252-5L,,
XL2596HVT,高压恒压、使能,50W,5~60V,150KHz,3A,±1.5%,87%,ADJ/3.3V/5V/12V,1.23V,TO220-5L,,
XL2596HVS,高压恒压、使能,30W,5~60V,150KHz,3A,±1.5%,87%,ADJ/3.3V/5V/12V,1.23V,TO263-5L,,
XL2596HVP,高压恒压、使能,10W,5~60V,150KHz,2A,±1.5%,87%,ADJ/3.3V/5V/12V,1.23V,SOP8-EP,,
XL2576HVT,高压恒压、使能,50W,5~60V,52KHz,3A,±1.5%,87%,ADJ/5V/12V,1.23V,TO220-5L,,
XL2576HVS,高压恒压、使能,30W,5~60V,52KHz,3A,±1.5%,87%,ADJ/5V/12V,1.23V,TO263-5L,,
XL7025,高压恒压+恒流,5W,10~100V,150KHz,0.6A,±2%,89%,ADJ,1.25V,TO252-5L,,
XL7026,高压恒压+恒流、高效率,5W,12~100V,150KHz,0.6A,±2%,93%,ADJ,1.25V,SOP8-EP,,
XL7035,高压恒压+恒流,20W,10~100V,150KHz,1A,±2%,89%,ADJ,1.25V,TO263-5L,,
XL7045,高压恒压+恒流、  上端采样,3W,10~100V,100KHz,0.3A,±2%,84%,ADJ,1.25V,SOP8-EP,,
XL7046,高压恒压+恒流、  使能、上端采样、高效率,8W,8~100V,100KHz,1A,±2%,95%,ADJ,1.25V,SOP8-EP,,
XL7056,高压恒压+恒流、  上端采样、高效率,20W,8~100V,100KHz,2.1A,±2%,95%,ADJ,1.25V,TO263-7L,,
XL5003  新品！,高压恒压、非隔离,8W,30~150V,120KHz,0.6A,±5%,80%,ADJ,3.0V,SOP8,/,/
XL5004  新品！,高压恒压、非隔离,8W,30~200V,120KHz,0.6A,±5%,80%,ADJ,3.0V,SOP8,/,/
XL5005  新品！,高压恒压、非隔离,6W,30~150V,120KHz,0.6A,±5%,80%,12V,-,SOP8,/,/
XL5006  新品！,高压恒压、非隔离,6W,30~200V,120KHz,0.6A,±5%,80%,12V,-,SOP8,/,/
XL5007  新品！,高压恒压、非隔离,8W,30~150V,120KHz,0.6A,±5%,80%,15V,-,SOP8,/,/
XL5008  新品！,高压恒压、非隔离,8W,30~200V,120KHz,0.6A,±5%,80%,15V,-,SOP8,/,/
XL7054  新品！,高压恒压、使能,10W,5~90V,330KHz,1.0A,±2%,95%,ADJ,1.25V,SOP8,/,/
XL7055  新品！,高压恒压、大功率,20W,5~90V,330KHz,2.0A,±2%,95%,ADJ,1.25V,SOP8-EP,/,/
,,,,,,,,,,,,


序号,功能描述,所属应用,文件阅览
1,方案原理图、隔离电源方案参考数据,方案实例,XL7005A隔离电源方案简介.pdf
2,高压热插拔上电、短路保护特性、带载启动,方案实例,XL7045应用说明.pdf
3,高压热插拔上电、短路保护特性、带载启动,方案实例,XL7046应用说明.pdf
4,典型应用电路图、系统应用设计实例、解决方案,产品设计指南,XL70XX高压恒压、使能系列产品设计指南.pdf
