产品网址：http://www.lynuc.cn/pro_detail.aspx?cid=425&id=107&
产品结构：首页->产品中心->新品发布->N3-

|产品名称|产品型号|功能描述|
|--|--|--|
|N3 系列控制器|N3|多轴（最大支持 16 轴）、多功能、多总线控制器，机身小巧精致，功能强大，能同时连接多种驱动器设备，用于多种数控类产品，具有高速度、高精度、精巧、易控、高开放性、通讯/网络功能等特点|

项目,规格,N3RE,N3ME
工控主板,处理器  (Cortex-A8),1,1
内存,1GBytes,◎,◎
用户存储,4GBytes,◎,◎
铁电,128K,◎,◎
网络接口,100Mbps EtherNet,◎,◎
总线接口,RTEX,◎,×
总线接口,EtherCAT,◎,◎
总线接口,M2,×,◎
串行接口,RS485,◎,◎
USB  接口,通用  USB  接口  2.0,◎,◎
模拟量输出,(-10V - 10V),2,2
控制轴数,伺服轴，主轴，辅助轴,16,16
面板接口,YCP-04S YCP-06,◎,◎
本地数字  I/O,IN/OUT,3 IN/3 OUT,3 IN/3 OUT
通用  I/O,2KHz,96 IN/96 OUT,96 IN/96 OUT
显示接口,VGA,☆,☆
显示接口,LVDS,◎,◎
显示接口,触摸屏,☆,☆
电源 输入,DC 24V/2A,◎,◎
最大功率,20W,◎,◎


项目,N3RE,N3ME
高速高精控制,◎,◎
QUI  用户自定义界面,☆,☆
描画,☆,☆
断电复归,◎,◎
四轴刻字机,☆,☆
双通道控制,☆,☆
plugIN  用户编程,◎,◎
RTCP  功能,☆,☆


有问题咨询我们？
点击留言
