产品网址：http://www.lynuc.cn/news_detail.aspx?cid=404&id=175
产品结构：首页->新闻中心->公司新闻->铼钠克数控系统N3ME、N3RE产品正式发布-

|产品名称|产品型号|功能描述|
|----|----|----|
|数控系统|N3ME、N3RE|无|

北京时间  2016  年  1  月  22  日  11:00  铼钠克  ECON  系统  N3ME  、  N3RE  正式发布，地点位于铼钠克本部三楼大厅。发布人系  N3  系列产品经理刘文雄。刘先生在发布会上向全体员工讲述了  N3  系列产品的硬件规格、与  N3B  版本不同之处、设备输入与接入、产品定位、调试工具、  2015  年应用成果、  2016  年销售展望、配置问题和常见问题处理。  一、 N3 系列产品硬件规格对比  项目  规格  N3B  N3RE  N3ME  工控主板  处理器  (IMX53)  1  1  1  内存  1GBytes  ◎  ◎  ◎  铁电  128K  ×  ◎  ◎  网络接口  100Mbps EtherNet  ◎  ◎  ◎  总线接口  RTEX  ◎  ◎  ×  EtherCAT  ◎  ◎  ◎  CAN  ×  ×  ×  M2  ×  ×  ◎  串行接口  RS485  ◎  ◎  ◎  USB  接口  移动存储接口  ◎  ◎  ◎  模拟量输出  0-10V  1  2  2  控制轴数  伺服轴，主轴，辅助轴  16  16  16  面板接口  YCP-04，YCP-04S  16  16  16  本地数字  I/O  IN/OUT  10 IN/8 OUT  3 IN/3 OUT  3 IN/3 OUT  显示接口  VGA  ◎  ☆  ☆  LVDS  ×  ◎  ◎  触摸屏  ☆  ☆  ☆  硬件的改进，N3RE N3ME 在N3B 的基础上，做了以下修改  1. 修改了原先控制器硬件的不稳定部分，提高了控制器硬件本生的稳定性和可靠性  2. 增加了一路脉冲伺服控制接口，增大了控制器的使用范围  3. N3ME 增加了安川M2总线接口，能够支持安川M2 系列的所有伺服  4. 模拟量输出由原来的1路增加到了2路输出，使之可以控制更多的模拟量设备  5. 增加了对LVDS 显示设备的支持  6. 面板控制器的一体式设计，提高了控制器使用的简易性  7. 增加了铁电存储设备，提高了用户数据的可靠保存  二、 软件规格  项目  N3B  N3RE  N3ME  高速高精控制  ◎  ◎  ◎  QUI用户自定义界面  ☆  ☆  ☆  描画  ☆  ☆  ☆  断电复归  ◎  ◎  ◎  四轴刻字机  ☆  ☆  ☆  双通道控制  ☆  ☆  ☆  plugIN 用户编程  ◎  ◎  ◎  RTCP  ☆  ☆  ☆  软件改进：  1. 系统增加了参数自动配置向导，实现参数简单配置  2. 增加了总线设备拓扑设定，使系统扩展更加灵活  3. 增加了串口自动设定，轻易实现RS485通讯设备的控制  4. 系统优化算法，实现更高速，高精控制  三、 一体机面板改进  1、一体式的设计，简化了安装线缆的连接，使用  更加简单  2、简化按键布局，操作  更加方便  3、按键使用曲面设计，手感更加舒适  四、 系统连接拓扑  因系统软硬件有良好的扩展性，使得系统可以同时连接多种设备同时运行  1. N3RE 外设连接  2. N3ME 外设连接  五、N3ME  、  N3RE  应用范围：  4  轴刻字机、磨床、钻攻机、车床、雕铣机、牙雕机、磨刀机等,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
项目,规格,N3B,N3B,N3RE,N3ME
工控主板,处理器  (IMX53),1,1,1,1
内存,1GBytes,◎,◎,◎,◎
铁电,128K,×,×,◎,◎
网络接口,100Mbps EtherNet,◎,◎,◎,◎
总线接口,RTEX,◎,◎,◎,×
总线接口,EtherCAT,◎,◎,◎,◎
总线接口,CAN,×,×,×,×
总线接口,M2,×,×,×,◎
串行接口,RS485,◎,◎,◎,◎
USB  接口,移动存储接口,◎,◎,◎,◎
模拟量输出,0-10V,1,1,2,2
控制轴数,伺服轴，主轴，辅助轴,16,16,16,16
面板接口,YCP-04，YCP-04S,16,16,16,16
本地数字  I/O,IN/OUT,10 IN/8 OUT,10 IN/8 OUT,3 IN/3 OUT,3 IN/3 OUT
显示接口,VGA,◎,◎,☆,☆
显示接口,LVDS,×,×,◎,◎
显示接口,触摸屏,☆,☆,☆,☆
,,,,,
项目,N3B,N3RE,N3ME,,
高速高精控制,◎,◎,◎,,
QUI用户自定义界面,☆,☆,☆,,
描画,☆,☆,☆,,
断电复归,◎,◎,◎,,
四轴刻字机,☆,☆,☆,,
双通道控制,☆,☆,☆,,
plugIN 用户编程,◎,◎,◎,,
RTCP,☆,☆,☆,,


项目,规格,N3B,N3B.1,N3RE,N3ME
工控主板,处理器  (IMX53),1,1,1,1
内存,1GBytes,◎,◎,◎,◎
铁电,128K,×,×,◎,◎
网络接口,100Mbps EtherNet,◎,◎,◎,◎
总线接口,RTEX,◎,◎,◎,×
总线接口,EtherCAT,◎,◎,◎,◎
总线接口,CAN,×,×,×,×
总线接口,M2,×,×,×,◎
串行接口,RS485,◎,◎,◎,◎
USB  接口,移动存储接口,◎,◎,◎,◎
模拟量输出,0-10V,1,1,2,2
控制轴数,伺服轴，主轴，辅助轴,16,16,16,16
面板接口,YCP-04，YCP-04S,16,16,16,16
本地数字  I/O,IN/OUT,10 IN/8 OUT,10 IN/8 OUT,3 IN/3 OUT,3 IN/3 OUT
显示接口,VGA,◎,◎,☆,☆
显示接口,LVDS,×,×,◎,◎
显示接口,触摸屏,☆,☆,☆,☆
,,,,,


项目,N3B,N3RE,N3ME
高速高精控制,◎,◎,◎
QUI用户自定义界面,☆,☆,☆
描画,☆,☆,☆
断电复归,◎,◎,◎
四轴刻字机,☆,☆,☆
双通道控制,☆,☆,☆
plugIN 用户编程,◎,◎,◎
RTCP,☆,☆,☆


有问题咨询我们？
点击留言
