产品网址：https://www.vmdsemi.com/home/product.html?cat_id=2
产品结构：root->杭州唯美地半导体有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|开关产品|无|无|

No.,VMD Part No.,Package,VDS_Max. (V),ID_Max. (A),VTH (V)  Min.,VTH (V)  Typ.,VTH (V)  Max.,RDS(ON) @  VGS=1.8V (mΩ)  Typ.,RDS(ON) @  VGS=1.8V (mΩ)  Max.,RDS(ON) @  VGS=2.5V (mΩ)  Typ.,RDS(ON) @  VGS=2.5V (mΩ)  Max.,RDS(ON) @  VGS=4.5V (mΩ)  Typ.,RDS(ON) @  VGS=4.5V (mΩ)  Max.,RDS(ON) @  VGS=10V (mΩ)  Typ.,RDS(ON) @  VGS=10V (mΩ)  Max.,ESD,Qg_Typ. (nC),Ciss_Typ. (pF)
1,VUSC1P5R100NA,SOT-23-3L,15,8.0,0.5,0.8,1.0,／,／,12.8,15,9.7,11,8.7,10,YES,17.9,1800.0
2,VUPA1P8R030NA,PDFN3.3*3.3-8L,18,50.0,0.4,0.75,1.0,4.4,7.0,3,5,2.5,3,／,／,YES,26.5,3048.0
3,VUDD002R150NC,DFN2*2-6L,20,12.0,0.35,0.7,1.0,23,30,14,18,10,15,／,／,NO,20,1900.0
4,VUDD002R150NA,DFN2*2-6L,20,12.0,0.35,0.7,1.0,20,30,12.5,18,9.5,15,／,／,YES,18,648.0
5,VUDD002R080NA,DFN2*2-6L,20,14.0,0.4,0.7,1.0,／,／,8.8,11,6.5,8,／,／,NO,16,1750.0
6,VUDE002R070NA,DFN3*3-8L,20,25.0,0.4,0.7,1.0,／,／,7.5,10,5.5,7,／,／,NO,20,1500.0
7,VUSB002R26ANA,SOT-23,20,0.75,0.35,0.75,1.1,390,590,260,360,190,260,／,／,YES,／,79.0
8,VUSB002R420NA,SOT-23,20,2.1,0.65,0.95,1.2,／,／,43,65,32,42,／,／,NO,2.9,260.0
9,VUSB002R270NA,SOT-23,20,4.5,0.4,0.7,1.0,44,62,22,35,18,27,／,／,NO,6.4,523.0
10,VUSB002R240NB,SOT-23,20,5.0,0.45,0.7,1.0,30,42,20,32,17,24,／,／,NO,／,901.0
11,VUSB002R190NA,SOT-23,20,7.0,0.4,0.8,1.0,48,70,23,33,16,22,14,19,YES,15,740.0
12,VUSC002R140NA,SOT-23-3L,20,7.0,0.5,0.7,1.0,／,／,14.7,19,11.8,15,10.8,14,YES,17.9,1800.0
13,VUSG002R26ANA,SOT-323,20,0.75,0.35,0.75,1.1,390,590,260,360,190,260,／,／,YES,／,79.0
14,VUSG002R780NA,SOT-323,20,2.1,0.65,0.95,1.2,／,／,70,105,59,78,／,／,NO,2,305.0
15,VUSG002R630NA,SOT-323,20,3.0,0.4,0.6,1.0,69,89,55,72,48,63,／,／,NO,6.8,480.0
16,VUSK002R25ANA,SOT-523,20,0.5,0.45,0.8,1.2,／,／,260,340,190,250,／,／,YES,／,120.0
17,VUSK002R26ANA,SOT-523,20,0.75,0.35,0.75,1.1,390,590,260,360,190,260,／,／,YES,／,120.0
18,VUSN002R26ANA,SOT-723,20,0.75,0.35,0.75,1.1,390,590,260,360,190,260,／,／,YES,／,79.0
