产品网址：https://www.indiemicro.com/cn/archives/product/ind86201-qfn88
产品结构：root->英迪芯微

|产品名称|产品型号|功能描述|
|----|----|----|
|血糖计 SOC 解决方案|IND86201-QFN88|包含高效的 32 位 ARM M0 内核微处理器，集成 160KB flash 及 8KB SRAM、实时时钟、12MHz RC 振荡器、32KHz 休眠模式时钟、10KHz 辅助时钟及看门狗定时器；高性能模拟前端可实现快速高精确度电化学测量，具备低校准要求；集成电源管理系统可实现 3V 电池或 5V USB 供电，集成充电泵可产生 4.5V 电压供给 LCD 驱动；还集成多种接口，已通过医疗设备预认证并得到广泛应用|

参数名,参数值
微处理器,ARM M0 32-Bit MCU
Flash,160kB
GPIO,18
模数转换（ADC）,1x16位
数模转换（DAC）,2x14位
PWM,2x12位
USB,1xUSB1.1
LCD驱动,4x30段
其他参数,"1xUART,1xI2C,1xSPI"
供电范围,2.2-3.3V
工作温度范围,-40C ~ +85C
芯片封装,8x8 120pins BGA
