产品网址：http://www.zjgst.com/products_cont_546.html
产品结构：root->江苏东方四通科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|PGD 系列感应法单晶生长炉电源|PGD 系列|主要应用于感应法晶体生长领域，如导模法蓝宝石、碳化硅等晶体生长。采用柜式一体化设计，按行业标准设计。高精度闭环控制，控制精度优于 0.01%。变压器采用超微晶或高性能铁氧体，谐振电容采用低损耗电容，损耗角小于 0.02%，电源体积小，损耗低，转换效率高。逆变功率器件采用 IGBT，谐振方式采用 LC 串联，频率适应范围广。具有软启动、软关断功能，功率因数高。操作方便，100%启动成功率，输出功率 0.2-100%连续可调。完善的保护功能，具有限压、限流、限功率以及缺相、过热、过流等保护功能。多种通讯方式可选。|

输入,3xAC380V  ±  15%;50/60HZ 其它,3xAC380V  ±  15%;50/60HZ 其它.1
输出,输出功率20KW~200KW(可定制),输出功率20KW~200KW(可定制)
输出,输出频率0.5-50KHZ(可定制),输出频率0.5-50KHZ(可定制)
主要特性,给定方式,模拟量、通讯
主要特性,控制模式,恒电流、恒功率
主要特性,控制精度,优于0.01%
主要特性,分辨率,16位
主要特性,功率因数,≥0.92
主要特性,效率,≥96%
主要特性,工作方式,连续式
主要特性,冷却方式,风冷/水冷
环境,使用环境温度,-5°C~+40°C
环境,储存温度,-5°C~+60°C
环境,相对湿度,≤90%RH，不结露
结构,安装方式,室内柜式安装
