产品网址：http://icpc.cn/cms/item/view?table=product&id=124
产品结构：当前位置：首页->产品与服务->飞腾->模块->SOM-NF241飞腾2000/4TYPE10

|产品名称|产品型号|功能描述|
|--|--|--|
|飞腾模块|SOM-NF241|FT2000/4 全国产化 COMe 模块，按照 PICMG COM Express 规范设计，兼容 COM express TypelO 的 pin 脚定义，尺寸为 mini module(84mm x75mm)。CPU 选用 FT2000/4 的四核处理器，主频 2.6GHz，板载 DDR4 4GB 内存。模块功能接口和结构符合 COM express TYPE10 标准，集成了丰富的外围接口和总线，用户可以搭建飞腾 2000/4 处理器的国产化平台。模块通过 COMeTYPE 10 连接器引出 2 路千兆网络、3 路串口、4 路 GPK、4 路 GPO、6 路 PCIE 等接口。|




符合规格,COM express®  Mini
尺寸,84mmx75mm x 8mm（长X宽X高）
处理器,"FT2000/4,四核@2.6GHz"
内存,板载4GB内存颗粒
网络,板载2路10/100/1000M自适应网络信号
SD卡,板载SD卡
操作系统,国产操作系统
PCIE,4个PCIeX8；2个PCIeXI
串口,3路TTL串口，1路系统调试，2路通信口
GPIO,"4路GPI, 4路GPO"
,1个电源指示灯
LED,1个系统故障灯
,1000M网络连接及数据传输信号线预留到接口
看门狗,1路看门狗
电源,支持12VDC
功耗,典型功耗G0W
功耗,"最大功耗S12W (25°C, CPU满负载，内存满负载)"
工作温湿度,"-40°C〜85°C, 5-95% RH,不凝结"
存储温湿度,"-55°C〜125°C,5〜95%RH,不凝结"
温度保护,支持过热保护功能
