产品网址：http://icpc.cn/cms/item/view?table=product&id=43
产品结构：当前位置：首页->产品与服务->申威->主板->CPB8110申威ATX系统处理

|产品名称|产品型号|功能描述|
|--|--|--|
|申威 ATX 系统处理主板|CPB8110|采用申威处理器 SW410/SW411 作为核心处理单元，为 64 位字长的国产高性能四核通用处理器，单芯片集成了 4 个 64 位 RISC 结构的申威处理器核心、128 位 DDR3 存储控制器和四套 PCI-E 标准 I/O 接口，主频最大可达 1.6GHz，SW410 和 SW411 处理器的最高峰值运算速度分别为每秒 512 亿次和 1024 亿次浮点运算。产品采用标准 ATX 结构形式，扩展引出了 USB、VGA/DVI、SATA 和以太网等标准接口。其处理计算性能强、功耗低、可靠性高，控制通信功能卓越。可用于办公系统、数据中心、网络通信、轨道交通等控制领域。|




CPU,SW410/411，4核，up  to 1.6GHz
内存,DDR3-1600  SDRAM，128bit，up to 1600，内存条最大支持容量为：16GB@SW411，4GB @SW410
存储,外接SATA硬盘存储
外围接口,2x  10Mbps/100Mbps/1000Mbps以太网口
外围接口,4x USB 2.0接口
外围接口,2x SATA 2.0接口
外围接口,"1x PCI总线插槽,32bit/33MHz"
外围接口,3x PCIE(x8)总线插槽，1x PCIE(x1)总线插槽
外围接口,1x 通用串口
外围接口,1x VGA接口，1xDVI接口
外围接口,1x 标准PS2鼠标，1x PS2键盘接口
其它,RTC实时时钟，温度检测，网络远程唤醒，电压监测
功耗,典型75W@SW411，55W@SW410
湿度,工作：10% ～ 90%
湿度,存储：5% ～ 95%
温度,工作：分为A、B两档，详见订货信息
温度,存储：-55℃ ～ +85℃
冲击,20G
振动,5Hz-500Hz随机
尺寸,305mm x 244mm x 36mm
