产品网址：http://icpc.cn/cms/item/view?table=product&id=125
产品结构：当前位置：首页->产品与服务->飞腾->模块->VPX-6F264飞腾FT2000+6UVPX

|产品名称|产品型号|功能描述|
|----|----|----|
|VPX-6F264 飞腾 FT2000+ 6U VPX 模块|VPX-6F264|采用全国产方案，模块均为国产器件。处理器采用飞腾 FT2000+/64 核高性能 CPU，芯片组采用兆芯 ZX-200 桥片，内存采用长鑫存储 CXDQ3A8AM-CQ，板载四通道 32GB DDR4 内存，板载 SATA 电子盘，网络控制器和电源芯片均采用国产型号，从而实现自主可控。模块功能接口和结构符合 VPX 6U 标准，集成了丰富的外围接口和总线，用户可以搭建飞腾 FT2000+/64 处理器的国产化平台。模块通过 VPX 标准连接器引出 2 组 x8 PCIE3.0 总线，1 组 x1 PCIE3.0 总线，1 组 x1 PCIE2.0 总线，2 路 SATA，4 路千兆网络、3 路 USB3.0、2 路 USB2.0、3 路串口、多个 GPIO 等扩展接口。|




板级项目,规格
主板,6U  VPX，233*160mm 厚度 2.5mm
处理器,FT-2000+/64 标准版
桥片,兆芯 ZX200
内存,板载国产 32GB DDR4 内存颗粒 ≥1600MHz
存储,板载 64GB SSD，1x MSATA 插槽
网络控制器,网讯 WX1860
前面板接口,2x USB3.0
前面板接口,1x RS232
VPX扩展接口,2x PCIE3.0 x8 -  飞腾 CPU  1x PCIE3.0 x1 - 飞腾 CPU  1x PCIE2.0 x4 - ZX200  1x PCIE2.0 x1 - ZX200  6x PCIE_REFCLK  2x SATA III/6Gbps  3x USB3.0 （带 5 路 USB2.0）  3x UART  4*1000M LAN  4x GPIO
VPX扩展接口,2x  I2C  系统复位  槽位检测  3x LED  可根据要求进行扩展预留
电源,标准 VPX 12V 供电
BIOS,标配 UBOOT，支持 UEFI
操作系统,银河麒麟
工作环境,0℃～45℃； 5%～90%  RH(商温)
储存环境,-50℃～65℃；  5%～90% RH；
