产品网址：http://icpc.cn/cms/item/view?table=product&id=121
产品结构：当前位置：首页->产品与服务->飞腾->整机

|产品名称|产品型号|功能描述|
|--|--|--|
|飞腾整机|GW-222F16-1|使用 FT1500A/16 处理器方案，采用工业化设计手段，能够满足工业网络的需求，为用户搭建通信环境。网闸主板板载 DDR3 内存颗粒，并外扩各种接口以满足客户的特殊需求，具有强大的运算能力和数据处理能力。网闸预留电源、硬盘、状态灯接口，连接到灯板。外形为标准 19 英寸机架设备，高度 2U 单主机重噩匀 5kg。网闸的主板、背板、电源、连接器和机箱均为全国产组件，该网闸进行安全防护设计，保障人身安全、设备安全。|




处理器,FT1500A/16
内存,板载8GB DDR3内存颗粒
桥片,ZX-200
存储,主板板贴128GB电子盘、预留mSATA接口
接口,"对外提供10G网络接口（光电各1,光接口引至后面板航插） 外出4路10/100/1000M网口，RJ45接口形式"
接口,对内提供两路PCIEX4/8接口，PCIE2.0及以上
接口,对内提供一路10/100/1000M网口
接口,高速插件采用CPCIE
接口,前面板2个USB3.0接口，CPCIE后出预留2个USB2.0
接口,前面板RJ45调试串口1个，CPCIE后出预留RS232串口1个
接口,CPCIE后出预留4个GPIO口
电源,"DC 12V,单路输出功率大于150W,可由前面板开关控制上电"
功耗,整板功耗小于80W
指示灯,预留电源、硬盘、状态灯接口，连接到灯板
按键,1个复位按键
尺寸,标准19英寸机架设备，高度2U
重量,单主机重量由5kg
温度,工作温度：0°C~40°C
温度,存储温度：-40°C~55°C
电磁兼容性,满足GJB151B-2013中地面设备电磁兼容性的相关要求
