产品网址：https://lthpc.com/products/detail/34
产品结构：root->GF2232G2

|产品名称|产品型号|功能描述|
|--|--|--|
|服务器|GF2232 G2|基于最新一代飞腾 S5000C-64 ARM 处理器，具备卓越的计算性能和超高的性价比，适用于云计算、虚拟化、分布式存储、超融合等应用。具有高性能 CPU 计算、灵活配置丰富扩展、智能管理安全可靠等特点。|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,
处理器和芯片组,处理器类型,飞腾
处理器和芯片组,支持的处理器,S5000C-64
处理器和芯片组,热设计功率 (TDP),330W
处理器和芯片组,芯片组制造商,飞腾
处理器和芯片组,芯片组型号,Power System on Chip
内存,最大内存,2TB
内存,内存技术,DDR5
内存,内存标准,DDR5-4000HMz
内存,总内存槽数,16
硬盘,SATA3,SATA3 (6Gbps)
硬盘,,"RAID 0,1,5,10"
硬盘,NVMe,
硬盘,M.2,2个 M.2 (2280)
显示与图形,显示和图形图形控制器制造商,
显示与图形,图形控制器模型,
I/O扩展,PCI Express,标配支持8个标准PCIe Gen5 扩展插槽
I/O扩展,,支持一个标准OCP 3.0 X8 槽位（支持Multi Host X8X8/NCSI）
驱动器托架,热插拔,8个3.5热插拔驱动器托架
接口/端口,USB 3.0 端口总数,4
接口/端口,SATA接口数量,8
接口/端口,局域网,1个 RJ45 管理端口
接口/端口,板载视频,2 个 VGA 接口
电源说明,电源数量,2
电源说明,冗余电源,是
电源说明,最大电源功率,1600W
电源说明,认证,80Plus 铂金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,2U
物理特性,高度,"3.5"""
物理特性,宽度,"17.2"""
物理特性,深度,"25.5"""
