产品网址：https://www.len-technology.com/en/products/dc-dc/dc-dc-details/ln10x46
产品结构：root->LN10X46Q1-DCDC

|产品名称|产品型号|功能描述|
|----|----|----|
|DC-DC|LN10X46Q1|Mass-produced，Automotive, 36V, 6A, Synchronous Step-Down Regulator|

Operating voltage Min (V),3.5
Operating voltage Max (V),36
Output Voltage Range (V),adjustable from 1V to VIN
Output current (A),Up to 6
Synchronous (integrated highside and lowside mosfet),Yes
Operating quiescent current (uA),16
Shutdown quiescent current (uA),0.5
Light load mode.,PFM or FPWM
Switching frequency (KHz),200 to 2500
EMI Performance.,Spread Spectrum Reduces Peak Emissions;  Adjustable Switch Node Slew Rate；  Flip Chip Package Minimizes SW Ringing；  Parallel Input Path Minimizes Radiated Emission；
Other functions.,Enable pin；  Power Good Indicator；  Internal Compensation；  Internal Soft Start;  Synchronization to external clock：
Complete protection.,Accurate Peak and Valley Current Clamp；  Output short-circuit protection with hiccup mode；  Accurate Vin UVLO protection；  Over-temperature shuntdown and recovery；
Package,LQFN4035W-14 with wettable flank
Product grade,AEC-Q100 Grade1
Operating junction temperature,-40 to 150
Functional safety supported,Functional Safety Supported
