产品网址：https://www.calterah.com/producttypes/board-yosemite
产品结构：root->加特兰微电子-开发板

|产品名称|产品型号|功能描述|
|--|--|--|
|Yosemite 4T8R 77/79 GHz Radar Chip|CAL77A4T8R|4 个 77GHz 发射通道，最大输出功率 13dBm，6bits 移相器，支持 BPSK 调制，发射功率检测；8 个 77GHz 接收通道，OP1dB>11dBm，5.0MHz 下变频增益范围 46dB-82dB，集成高通滤波器，5.0MHz 下典型 SSB 噪声系数 12dB，基带中频峰值检测器；77GHz/79GHz 频率合成器，环路滤波器带宽 1/2/3MHz，76GHz 至 81GHz 使用 50MHz 晶体或 50/100MHz 参考时钟，76GHz 至 78GHz 使用 40MHz 晶体或 40/80MHz 参考时钟，支持可配置的 FMCW 信号生成，支持同步输出信号；典型电源电流值 700mA@1.5V，75mA@3.3V，典型功耗 1.3W，符合汽车行业 AEC-Q100 规范|
|Yosemite 2T4R 77/79 GHz Radar Chip|CAL77A2T4R|2 个 77GHz 发射通道，最大输出功率 13dBm，6bits 移相器，支持 BPSK 调制，发射功率检测；4 个 77GHz 接收通道，OP1dB>11dBm，5.0MHz 下变频增益范围 46dB-82dB，集成高通滤波器，5.0MHz 下典型 SSB 噪声系数 12dB，基带中频峰值检测器；77GHz/79GHz 频率合成器，环路滤波器带宽 1/2/3MHz，76GHz 至 81GHz 使用 50MHz 晶体或 50/100MHz 参考时钟，76GHz 至 78GHz 使用 40MHz 晶体或 40/80MHz 参考时钟，支持可配置的 FMCW 信号生成，支持同步输出信号；典型电源电流值 350mA@1.5V，40mA@3.3V，典型功耗 0.66W，符合汽车行业 AEC-Q100 规范|
|数据采集板 (DCK)|无|高速接口，实时模数转换器可为 4 个通道的接收系统抓取原始数据，雷达系统实时数据抓取，无时间限制持续数据抓取，低功耗（标准 USB 供电），可以作为雷达开发平台(RDP-F-S)的逻辑扩展|
|射频天线板 77GHz 2T4R (Mars)|无|集成加特兰微电子 Yosemite 系列收发芯片（CAL77A2T4R），可搭配数据采集板（DCK）使用|
|射频天线板 (Jupiter-S)|无|集成加特兰微电子 Yosemite 系列收发芯片（CAL77A2T4R），可搭配数据采集板（DCK）使用|
|射频天线板 (Jupiter-D)|无|集成加特兰微电子 Yosemite 系列收发芯片（CAL77A4T8R）|
|雷达开发平台 (RDP-F-S)|无|强大的数据处理能力，FPGA 和双核 ARM Cortex-A9，DDR3 SDRAM，FLASH，SD-Card，CAN*2，RS-232，USB-UART，用于原始数据输出的高速并行接口（和数据采集板 DCK 配合使用），提供雷达前端控制用 API，提供雷达信号处理用 API，公开的原理图和 PCB 设计文档|
|雷达开发平台 (RDP-C-S)|无|易扩展的汽车雷达平台支持 LRR/MRR/SRR，兼容 2T4R 和 4T8R RF 射频天线板，支持 76GHz 到 78GHz 频率范围，满足 ASIL-D 功能安全标准，提供雷达前端控制用 API，提供雷达信号处理参考源码，公开的原理图和 PCB 设计文档|
|芯片评估板 (EVK)|无|用于评估芯片性能，兼容 2T4R 和 4T8R 射频天线板，板载 Buffer 便于 50 欧姆仪器测量，板载 Balun 用于单端和差分间的转换，USB 到 SPI 接口用于芯片配置，所有的模拟和数字信号均有 2.54mm 插针引出，友好的 GUI 芯片配置界面，公开的原理图和 PCB 设计文档|
