产品网址：https://product.nvc-lighting.com.cn
产品结构：root->产品中心-NVC雷士照明-照明整体解决方案服务商

|产品名称|产品型号|功能描述|
|--|--|--|
|肖邦 87 系列|无|无|
|肖邦酒店筒灯|无|无|
|肖邦灯带|无|无|
|酒店筒灯|无|无|
|吸顶灯|无|无|
|吊灯|无|无|
|风扇灯|无|无|
|台灯|无|无|
|落地灯|无|无|
|筒灯|无|无|
|天棚灯|无|无|
|肖邦驱动|无|无|
|浴霸|无|无|
|面板灯|无|无|
|晾衣机|无|无|
|换气扇|无|无|
|肖邦 COB 灯带系列|晨月|无|
|肖邦 3D 异形灯带系列|紫韵|无|
|肖邦 COB 灯带系列|晨月|无|
|肖邦 3D 异形灯带系列|紫韵|无|
|NLED98|无|无|
|肖邦透镜灯带系列|逐光前行|无|
|肖邦柔性灯带系列|NLED98|无|
|肖邦透镜灯带系列|逐光前行|无|
|肖邦柔性灯带系列|灿若繁星|无|
|肖邦霓虹灯带系列|智夏|无|
|肖邦高显指灯带系列|灿若繁星|无|
|肖邦霓虹灯带系列|智夏|无|
|肖邦高显指灯带系列|致越|无|
|肖邦 86 系列|至简光影|无|
|肖邦高光效灯带系列|致越|无|
|肖邦 86 系列|至简光影|无|
|肖邦高光效灯带系列|雅哲|无|
|肖邦 86J 系列|相随|无|
|肖邦 87 系列|雅哲|无|
|肖邦 86J 系列|相随|无|
