产品网址：http://www.anguangic.com/Product/Products/list_3.html
产品结构：root->红外线遥控IC_广州安广电子科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|红外线遥控 IC|AD025B|带 LCD 显示驱动的 4 位高性能 MCU，包含 5KW OTP ROM、224B SRAM、3 组 I/O 端口、最多支持 96(32*4)点 LCD 显示，内置 RC 震荡和 IR 驱动电路，主要用于单一 LC|
|红外线遥控 IC|AD019|带 LCD 显示驱动的红外遥控发射电路，包含 192 字节 SRAM，4K 字节 OTP ROM，主要用于单一 LCD 空调遥控器的程序开发；采用 LQFP48 封装，外围电路简单|
|红外线遥控 IC|AD009-08|带红外遥控的小容量单片机，可省晶振，省三极管，省电容，SOP16 封装，最大支持 91 个按键，主要用于单一红外遥控产品的开发|
|红外线遥控 IC|AD009-01T|4 位 RISC 指令单片机，内置 RC 振荡和红外发射驱动电路，包含 0.6K*12bits PROM，12 个 I/O 口。采用 SOP16 封装，最大支持 91 个按键，主要适用于各种|
|红外线遥控 IC|AD018|带 LCD 显示驱动的红外遥控发射电路，包含 192 字节 SRAM，4K 字节 OTP ROM，主要用于单一 LCD 空调遥控器的程序开发；采用 LQFP48 封装，外围电路简单|
|红外线遥控 IC|AD009-041|专用于红外遥控的 4 位 OTP 单片机，包含 2K*12bits ROM、32*4bits SRAM，内置 RC 振荡和红外发射驱动电路，采用 SOP16 封装，可支持 66 个按键输入，外围元|
|红外线遥控 IC|AD009-49|基于四位 MCU 的红外遥控发射 MTP 单片机，内部集成 4 位 MCU 内核，1k*4´8bits ROM，64´4bits RAM，TIMER，晶振，PWM，内置驱动|
|红外线遥控 IC|AD009-48|基于四位 MCU 的红外遥控发射电路，内部集成 4 位 MCU 内核，4k´8bits ROM，64´4bits RAM，TIMER，晶振，IR 驱动内置。振荡源可选|
|红外线遥控 IC|AD009-023|带红外遥控功能的填码 IC，内置高精度载波发生器和红外发射驱动电路，外围不再需要电容，晶振，三极管等元件；支持 66 个按键输入和外接发码指示灯，单一格式 6121、7461|
|红外线遥控 IC|AD009-04T|带红外遥控功能的 8 位 MTP 单片机，内置 RC 振荡和红外发射驱动电路，包含 4KB ROM、64 字节 RAM 和 12 个 I/O 口，采用 SOP16 封装，主要用于单一红外遥控产品的开发|
