产品网址：http://www.anguangic.com/Product/list_5.html#
产品结构：root->产品中心_广州安广电子科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|带红外学习功能的 OTP 单片机|AD009-06|内建学习电路，包含 6K ROM,1K SRAM 和 12 个 I/O 端口，省晶振，省三极管，采用 SOP16 封装，主要用于学习型遥控器的程序|
|带红外学习与发射功能的 MCU|AD009-03E|内置学习电路、IR 驱动电路和高精度 RC 振荡电路；包含 6KB OTP ROM,256B SRAM，并内建 MTP ROM 来存储学习数据，采用 SOP1|
|专为数字电视遥控器开发的 8 位 OTP 单片机|AD009-03|省晶振，省三极管。内置高灵敏度学习电路。可通过编程来实现各地带学习的机顶盒遥控器|
|带 LCD 显示驱动的 4 位高性能 MCU|AD025B|包含 5KW OTP ROM、224B SRAM 、3 组 I/O 端口、最多支持 96(32*4)点 LCD 显示,内置 RC 震荡和 IR 驱动电路,主要用于单一 LCD|
|带 LCD 显示驱动的红外遥控发射电路|AD019|包含 192 字节 SRAM ，4K 字节 OTP ROM，主要用于单一 LCD 空调遥控器的程序开发;采用 LQFP48 封装，外围电路简单元|
|带红外遥控的小容量单片机|AD009-08|可省晶振，省三极管，省电容,SOP16 封装，最大支持 91 个按键，主要用于单一红外遥控产品的开发|
|4 位 RISC 指令单片机|AD009-01T|内置 RC 振荡和红外发射驱动电路，包含 0.6K *12bits PROM,12 个 I/O 口。采用 SOP16 封装，最大支持 91 个按键，主要适用于各种|
|带 LCD 显示驱动的红外遥控发射电路|AD018|包含 192 字节 SRAM ，4K 字节 OTP ROM，主要用于单一 LCD 空调遥控器的程序开发;采用 LQFP48 封装，外围电路简单|
|专用于红外遥控的 4 位 OTP 单片机|AD009-041|包含 2K*12bits ROM、32*4bits SRAM，内置 RC 振荡和红外发射驱动电路，采用 SOP16 封装，可支持 66 个按键输入，外围元|
