产品网址：http://hi-sensor.com/ProductInfoCategory?categoryId=607105,607413,607414,607415,607416,607418,607419,607425,607428,607643,607644,607645,607646,607647,607648,607649,607650,607651,607652,607653,607654,607655
产品结构：root->产品分类结果页

|产品名称|产品型号|功能描述|
|--|--|--|
|管道式空气质量变送器|无|采用激光散射测量原理，通过独有的数据双频采集技术进行筛分得出单位体积内等效粒径的颗粒物粒子个数，并以科学独特的算法计算出单位体积内等效粒径的颗粒物质量浓度|
|长杆式噪声变送器|无|噪声传感器是一款高精度的声音计量仪器，量程高达 30dB~120dB|
|板载噪声模块|无|按国标 GB/T3785.1-2010《电声学声级计第 1 部分：规范》和国标 IEC 61672-1:2002 对 2 级 X 类声级计的要求设计|
|空气质量变送器|无|采用激光散射测量原理，通过独有的数据双频采集技术进行筛分得出单位体积内等效粒径的颗粒物粒子个数，并以科学独特的算法计算出单位体积内等效粒径的颗粒物质量浓度|
|噪声传感器|无|是一款高精度的声音计量仪器，量程高达 30dB~120dB，满足日常测量需求|
|倾角变送器|无|是一款标准工业双轴倾角仪，通过检测使用环境中的倾斜角度来判断设备的倾斜状态，可长期在户外使用|
|小型超声波风速风向变送器|无|小型超声波风速风向传感器是我司研制的一款基于超声波原理研发的风速风向测量仪器，可以同时测量风速，风向的瞬时数值|
|超声波一体式气象站|无|集风速、风向、温湿度、噪声采集、PM2.5 和 PM10、CO2、大气压力于一体；风速风向采用超声波原理测量，无启动风速限制，零风速工作，无角度限制，360°全方位，可同时获得风速、风向的数据|
|C 型一体式气象站|无|该产品广泛适用于需要测量环境温湿度、噪声、空气质量、CO2、大气压力等各种场合，安全可靠，外观美观，安装方便，经久耐用|
|超声波风速风向变送器|无|超声波风速风向传感器使用四个超声波探头在二维平面内循环发送和接收超声波，通过超声波在空气中传播的时差来测量风速和风向|
|管道风速变送器|无|该变送器专为监测管道内的风速而设计，内置自主研发的高精度风速测量单元，反应灵敏，能快速准确地测量微小风速，稳定性好、漂移小、精度高|
|聚碳风速传感器|无|外形小巧轻便，便于携带和组装，三杯设计理念可以有效获得风速信息，壳体采用聚碳酸酯复合材料，多种输出模式可选|
