产品网址：http://hi-sensor.com/productinfo/966720.html
产品结构：root->板载噪声模块-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|板载噪声模块|无|具有慢速和快速测量两种模式，满足不同客户要求；PCB 板载安装方式，30~120dBA 宽量程、20~12.5KHz 宽频率测量；采用高性能预极化背极驻极体电容传声器，动态范围宽、性能稳定；供电电源 4.5V~5.5VDC、10~28VDC 可选，输出接 TTL 或 RS-485 出厂可选|

工作电压,4.5~5.5V（默认）  10~28V（可选）,4.5~5.5V（默认）  10~28V（可选）.1,4.5~5.5V（默认）  10~28V（可选）.2
功耗,18.9mA@5V  31.0mA@12V  27.8mA@24V,18.9mA@5V  31.0mA@12V  27.8mA@24V,18.9mA@5V  31.0mA@12V  27.8mA@24V
变送器电路工作温度,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）
输出信号,UART（TTL）,输出电压：0~3.3V  输入电压：0~3.3V兼容5V,输出电压：0~3.3V  输入电压：0~3.3V兼容5V
输出信号,RS-485,ModBus-RTU通信协议,ModBus-RTU通信协议
输出信号,模拟量输出,输出电压：0~3V对应30~120dB,输出电压：0~3V对应30~120dB
UART或RS-485通信参数,9600 N 8 1,9600 N 8 1,9600 N 8 1
测量范围,30dB~120dB,30dB~120dB,30dB~120dB
频率计权,A计权,A计权,A计权
频率响应范围,20Hz~12.5kHz,20Hz~12.5kHz,20Hz~12.5kHz
响应时间,快速模式,快速模式,500ms
响应时间,慢速模式,慢速模式,1.5S
稳定性,使用周期内小于2%,使用周期内小于2%,使用周期内小于2%
参考校准点,"94dB及114dB校准，基准声压20uPa,频率1kHZ","94dB及114dB校准，基准声压20uPa,频率1kHZ","94dB及114dB校准，基准声压20uPa,频率1kHZ"
噪声精度,±0.5dB（在参考音准，94dB@1kHz）,±0.5dB（在参考音准，94dB@1kHz）,±0.5dB（在参考音准，94dB@1kHz）
防尘罩影响,在50~115db范围内影响≤0.5dB  量程内其他范围内影响≤0.7dB,在50~115db范围内影响≤0.5dB  量程内其他范围内影响≤0.7dB,在50~115db范围内影响≤0.5dB  量程内其他范围内影响≤0.7dB
工作环境,空气温度：-40~+60℃  相对湿度：25%~90%  静压：65kPa~106kPa  周围无强烈的机械振动、冲击、强电磁场和腐蚀性气体存在,空气温度：-40~+60℃  相对湿度：25%~90%  静压：65kPa~106kPa  周围无强烈的机械振动、冲击、强电磁场和腐蚀性气体存在,空气温度：-40~+60℃  相对湿度：25%~90%  静压：65kPa~106kPa  周围无强烈的机械振动、冲击、强电磁场和腐蚀性气体存在
声压响应与自由场响应的调整数据,通过声校准器产生的声压响应或用静电激励器产生的模拟声压响应，可通过下表的调整数据得到等效的自由场响应。,通过声校准器产生的声压响应或用静电激励器产生的模拟声压响应，可通过下表的调整数据得到等效的自由场响应。,通过声校准器产生的声压响应或用静电激励器产生的模拟声压响应，可通过下表的调整数据得到等效的自由场响应。
模块在1kHz、2kHz、4kHz、8kHz的指向性,,,
驻极体参数,驻极体参数,驻极体参数,驻极体参数
自由场灵敏度,约为8mV/Pa(自由场灵敏度级为-42 dB，以1V为参考),约为8mV/Pa(自由场灵敏度级为-42 dB，以1V为参考),约为8mV/Pa(自由场灵敏度级为-42 dB，以1V为参考)
驻极体极头电容量,约为15pF,约为15pF,约为15pF
典型频率响应,,,


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,公司代号
ZS-,,,,噪声模块
,BZ-,,,PCB安装方式
,,TTL-,,UART（TTL）输出
,,485-,,485输出
,,,5.0,供电电压为4.5~5.5V
,,,12.0,供电电压为10~28V
