产品网址：http://hi-sensor.com/productinfo/949336.html
产品结构：root->LORA温湿度变送器-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|LORA 温湿度变送器|无|采用独有的 LORA 无线通信协议，避免信号传输干扰，解决传统无线通信传输距离短、穿透性不足、功耗高的问题；温湿度采集精度高，设备电池可更换；外壳防护等级为 IP65，可满足室外使用；避免工程实施中大量通讯线缆、管线、供电线路的铺设，可根据现场情况调整安装位置|

供电,DC3.6V锂亚电池,DC3.6V锂亚电池.1,DC3.6V锂亚电池.2,DC3.6V锂亚电池.3
续航时间,搭配我司提供电池，5min上传一次数据可连续使用2年,搭配我司提供电池，5min上传一次数据可连续使用2年,搭配我司提供电池，5min上传一次数据可连续使用2年,搭配我司提供电池，5min上传一次数据可连续使用2年
A准精度,湿度,湿度,"±2%RH(60%RH,25℃)","±2%RH(60%RH,25℃)"
A准精度,温度,温度,±0.4℃（25℃）,±0.4℃（25℃）
B准精度  （默认）,湿度,湿度,"±3%RH(60%RH,25℃)","±3%RH(60%RH,25℃)"
B准精度  （默认）,温度,温度,±0.5℃（25℃）,±0.5℃（25℃）
变送器电路工作温度,-40℃~+60℃，0%RH~80%RH,-40℃~+60℃，0%RH~80%RH,-40℃~+60℃，0%RH~80%RH,-40℃~+60℃，0%RH~80%RH
探头工作温度,探头代号：-B宽温探头,探头代号：-B宽温探头,探头代号：-B宽温探头,-40℃~+120℃
探头工作温度,其余探头代号,其余探头代号,其余探头代号,-40℃~+80℃
探头工作湿度,0~100%RH,0~100%RH,0~100%RH,0~100%RH
长期稳定性,湿度,湿度,≤1%RH/y,≤1%RH/y
长期稳定性,温度,温度,≤0.1℃/y,≤0.1℃/y
响应时间,探头代号,探头代号,,
响应时间,其他,湿度,≤8s(1m/s风速),≤8s(1m/s风速)
响应时间,其他,温度,≤25s(1m/s风速),≤25s(1m/s风速)
响应时间,-B,湿度,≤6s(1m/s风速),≤6s(1m/s风速)
响应时间,-B,温度,≤18s(1m/s风速),≤18s(1m/s风速)
输出信号,Lora无线信号,Lora无线信号,Lora无线信号,Lora无线信号
传输距离,室内市区,室内市区,可穿3-4堵混凝土墙,可穿3-4堵混凝土墙
传输距离,室外,室外,视距3000米,视距3000米


Unnamed: 1,Unnamed: 2,公司代号,公司代号.1,公司代号.2
WS-,,温湿度变送、传感器,温湿度变送、传感器,温湿度变送、传感器
,LORA-,,LORA无线通信,LORA无线通信
,,2-,,壁挂王字壳
,,,2,内置PE探头
,,,4,内置精装探头
,,,5,外延精装探头
,,,6,外延防水探头
,,,B,外延宽温探头
