产品网址：http://hi-sensor.com/productinfo/949282.html
产品结构：root->无线电温湿度变送记录仪-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|无线电温湿度变送记录仪|无|内置电池供电，1 分钟传输一次数据一次充电可连续使用 6 个月；可通过液晶按键进行上下限及校准值设定，433M 无线传输，现场施工免布通信线；内置蜂鸣器报警，及报警指示 LED 可实现就地声光报警，外置探头型探头线最长可达 30 米且多种探头应用于不同场合可选；内置存储器，温湿度数据实时记录，最大可记录 65535 组数据。|

供电,5V外接电源或内置电池,5V外接电源或内置电池.1
功率,0.002W（内置电池供电时）,0.002W（内置电池供电时）
A准精度,湿度,"±2%RH(60%RH,25℃)"
A准精度,温度,±0.4℃（25℃）
B准精度  （默认）,湿度,"±3%RH(60%RH,25℃)"
B准精度  （默认）,温度,±0.5℃（25℃）
变送器电路工作温湿度,-20℃~+60℃，0%RH~95%RH （非结露）,-20℃~+60℃，0%RH~95%RH （非结露）
探头工作温度,-40℃~+80℃,-40℃~+80℃
探头工作湿度,0~100%RH,0~100%RH
温度显示分辨率,0.1℃,0.1℃
湿度显示分辨率,0.1%RH,0.1%RH
温湿度刷新时间,1s,1s
长期稳定性,湿度,≤1%RH/y
长期稳定性,温度,≤0.1℃/y
响应时间,温度,≤25s(1m/s风速)
响应时间,湿度,≤8s(1m/s风速)
输出信号,无线电信号,无线电信号
传输距离,室内,可穿3~4堵混凝土墙
传输距离,室外,视距大于800米
报警功能,内置蜂鸣器,内置蜂鸣器
电池工作时间,≥6个月,≥6个月


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,公司代号
WS-,,,,温湿度变送|传感器
,DCS-,,,内置电池（带存储）
,DC-,,,内置电池（不带存储）
,,6C-,,大液晶壳
,,,4.0,内置精装探头
,,,5.0,外延精装探头
