产品网址：http://hi-sensor.com/productinfo/949115.html
产品结构：root->无线电壁挂王字壳外置电源-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|无线电壁挂王字壳外置电源|无|无线传输，现场施工免布通信线，通信距离最远可达视距 1000 米或穿透 4 堵墙，即可室内使用也可室外使用；设备采用外部电源供电，用户只需要借助现场现成的交流 220V 供电便可用我公司配的电源适配器给设备供电，无需另外假设通信线缆。|

供电,10~30V DC,10~30V DC.1,10~30V DC.2,10~30V DC.3
A准精度,湿度,湿度,"±2%RH(60%RH,25℃)","±2%RH(60%RH,25℃)"
A准精度,温度,温度,±0.4℃（25℃）,±0.4℃（25℃）
B准精度  （默认）,湿度,湿度,"±3%RH(60%RH,25℃)","±3%RH(60%RH,25℃)"
B准精度  （默认）,温度,温度,±0.5℃（25℃）,±0.5℃（25℃）
变送器电路工作温度,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）
探头工作温度,探头代号：-B宽温探头,探头代号：-B宽温探头,探头代号：-B宽温探头,-40℃~+120℃
探头工作温度,其余探头代号,其余探头代号,其余探头代号,-40℃~+80℃
探头工作湿度,0~100%RH,0~100%RH,0~100%RH,0~100%RH
长期稳定性,湿度,湿度,≤1%RH/y,≤1%RH/y
长期稳定性,温度,温度,≤0.1℃/y,≤0.1℃/y
响应时间,探头型号,探头型号,,
响应时间,其他,湿度,≤8s(1m/s风速),≤8s(1m/s风速)
响应时间,其他,温度,≤25s(1m/s风速),≤25s(1m/s风速)
响应时间,-B,湿度,≤6s(1m/s风速),≤6s(1m/s风速)
响应时间,-B,温度,≤18s(1m/s风速),≤18s(1m/s风速)
输出信号,无线电跳频信号,无线电跳频信号,无线电跳频信号,无线电跳频信号
传输距离,室内,室内,可穿3~4堵混凝土墙,可穿3~4堵混凝土墙
传输距离,室外,室外,视距大于800米,视距大于800米


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,公司代号
WS-,,,,温湿度变送、传感器
,DY-,,,外置电源
,,2-,,壁挂王字壳
,,,2,内置PE探头
,,,4,内置精装探头
,,,5,外延精装探头
,,,6,外延防水探头
,,,B,外延宽温探头
