产品网址：http://hi-sensor.com/productinfo/948862.html
产品结构：root->低功耗GPRS温湿度变送器（C3壳体）-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|低功耗 GPRS 温湿度变送器（C3 壳体）|无|设备自带大屏液晶显示，数值显示清晰；内置报警功能，可进行报警的上下限值及校准设置；设备低功耗，电池使用时间更长，最长时间可长达 60 天；可选择两种探头：内置精装探头或外置探头线长 30 米（选配）|

设备供电,DC5V供电或内置电池供电,DC5V供电或内置电池供电.1,DC5V供电或内置电池供电.2
功耗,GPRS选型，0.012W(10min上传一次数据）,GPRS选型，0.012W(10min上传一次数据）,GPRS选型，0.012W(10min上传一次数据）
功耗,4G选型，0.018W(10min上传一次数据）,4G选型，0.018W(10min上传一次数据）,4G选型，0.018W(10min上传一次数据）
通信接口,GPRS/GSM，中国移动或中国联通的手机网络,GPRS/GSM，中国移动或中国联通的手机网络,GPRS/GSM，中国移动或中国联通的手机网络
通信接口,4G，中国移动、中国联通或中国电信的手机网络,4G，中国移动、中国联通或中国电信的手机网络,4G，中国移动、中国联通或中国电信的手机网络
数据上传,GPRS/4G进行数据上传，电池供电状态下数据上传间隔可设，  电源供电状况下1分钟上传1次,GPRS/4G进行数据上传，电池供电状态下数据上传间隔可设，  电源供电状况下1分钟上传1次,GPRS/4G进行数据上传，电池供电状态下数据上传间隔可设，  电源供电状况下1分钟上传1次
上传平台,扫码连微信平台,扫码连微信平台,扫码连微信平台
测量范围,温度,探头内置型,-20~+60℃
测量范围,温度,探头外置型,-40~+80℃
测量范围,湿度,探头内置型,0~95%RH
测量范围,湿度,探头外置型,0~100%RH
变送器电路工作温湿度,-20℃～+60℃，0%RH～95%RH（非结露）,-20℃～+60℃，0%RH～95%RH（非结露）,-20℃～+60℃，0%RH～95%RH（非结露）
测量精度,温度,普通精度：±0.5℃（25℃）；高精度：±0.2℃（25℃）,普通精度：±0.5℃（25℃）；高精度：±0.2℃（25℃）
测量精度,湿度,"普通精度：±3%RH(60%RH,25℃)；  高精度：±2%RH(60%RH,25℃)","普通精度：±3%RH(60%RH,25℃)；  高精度：±2%RH(60%RH,25℃)"
温度显示分辨率,0.1℃,0.1℃,0.1℃
湿度显示分辨率,0.1%RH,0.1%RH,0.1%RH
温湿度刷新时间,1s,1s,1s
电池供电时长,GPRS选型，无供电状态、10min上传一次数据情况下，  一次充电可使用60天,GPRS选型，无供电状态、10min上传一次数据情况下，  一次充电可使用60天,GPRS选型，无供电状态、10min上传一次数据情况下，  一次充电可使用60天
电池供电时长,4G选型，无供电状态、10min上传一次数据情况下，  一次充电可使用40天,4G选型，无供电状态、10min上传一次数据情况下，  一次充电可使用40天,4G选型，无供电状态、10min上传一次数据情况下，  一次充电可使用40天


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,公司代号
WS-,,,,温湿度变送器
,GPRS-,,,GPRS通讯方式
,4G-,,,4G通讯方式
,,C3-,,C3外壳
,,,4.0,内置精装探头
,,,5.0,外延精装探头
