产品网址：http://hi-sensor.com/productinfo/948934.html
产品结构：root->嵌入式温湿度记录仪4G版-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|嵌入式温湿度记录仪 4G 版|无|带有直接连接蓝牙打印机的功能，可直接连接蓝牙打印机，打印数据间隔可设置，正常存储间隔和报警存储间隔单独设置；设备可 GPS 自动定位移动轨迹，对移动设备的路线更加清晰明确；采用瑞士原装温湿度测量单元，测量精度高，抗干扰能力强，保证产品的优异测量性能；温度超限可实现就地声光报警、短信告警（1~5 个责任人可自由设定）；可设置运输过程中本地存储的时间间隔，当温度超过限值（可设置）时，可自动切换到超限记录间隔（可设置）|

供电,10~30VDC,10~30VDC.1
额定功耗,0.7W,0.7W
通信接口,4G，手机通用网络,4G，手机通用网络
数据上传,GPRS进行数据上传,GPRS进行数据上传
参数设置,短信参数设置,短信参数设置
报警功能,温度越限短信报警、振铃报警,温度越限短信报警、振铃报警
内部存储,记录周期1分-24小时可设置，记录容量：65000组,记录周期1分-24小时可设置，记录容量：65000组
精度,湿度,"±3%RH(60%RH,25℃)"
精度,温度,±0.5℃（25℃）
变送器电路工作温湿度,-20℃~+60℃，0%RH~95%RH 非结露,-20℃~+60℃，0%RH~95%RH 非结露
探头工作温度,-40℃~+120℃，默认-40℃~+80℃,-40℃~+120℃，默认-40℃~+80℃
探头工作湿度,0%RH-100%RH,0%RH-100%RH
长期稳定性,湿度,≤1%RH/y
长期稳定性,温度,≤0.1℃/y
响应时间,湿度,≤8s(1m/s风速)
响应时间,温度,≤25s(1m/s风速)
温度显示分辨率,0.1℃,0.1℃
湿度显示分辨率,0.1%RH,0.1%RH
温湿度刷新时间,1s,1s
备用电池工作时间,不带GPS定位产品≥7天 带GPS产品≥2天,不带GPS定位产品≥7天 带GPS产品≥2天


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,公司代号
YS-,,,,,车载设备
,4G-,,,,4G方式上传
,,A-,,,内嵌记录仪
,,,LY-,,带一键打印功能
,,,,空,空
,,,,GPS,带GPS定位
