产品网址：http://hi-sensor.com/productinfo/966563.html
产品结构：root->超声波一体式气象站-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|超声波一体式气象站|无|宽范围 0-120Kpa 气压量程，可应用于各种海拔高度；集风速、风向、温湿度、噪声采集、PM2.5 和 PM10、CO2、大气压力于一体；风速风向采用超声波原理测量，无启动风速限制，零风速工作，无角度限制，360°全方位，可同时获得风速、风向的数据；关键部件采用进口器件，稳定可靠，具有测量范围宽、线形度好、防水性能好、使用方便、便于安装、传输距离远等特点|

直流供电（默认）,10-30VDC,10-30VDC.1
最大功耗,RS485输出：1.2W  GPRS/4G通讯：1.8W,RS485输出：1.2W  GPRS/4G通讯：1.8W
精度,风速,±(0.2m/s±0.02*v)(v为真实风速)
精度,风向,±3°
精度,湿度,"±3%RH(60%RH,25℃)"
精度,温度,±0.5℃（25℃）
精度,大气压力,±0.15Kpa@25℃ 75Kpa
精度,噪声,±3db
精度,PM10 PM2.5,±10%（25℃）
精度,CO2,±(40ppm+ 3%F·S) (25℃)
精度,光照强度,±7%(25℃)
量程,风速,0~60m/s
量程,风向,0~359°
量程,湿度,0%RH~99%RH
量程,温度,-40℃~+80℃
量程,大气压力,0-120Kpa
量程,噪声,30dB~120dB
量程,PM10 PM2.5,0-1000ug/m3
量程,CO2,0-5000ppm
量程,光照强度,0-20 万 Lux
长期稳定性,温度,≤0.1℃/y
长期稳定性,湿度,≤1%/y
长期稳定性,大气压力,-0.1Kpa/y
长期稳定性,噪声,≤3db/y
长期稳定性,PM10 PM2.5,≤1%/y
长期稳定性,CO2,≤1%/y
长期稳定性,光照强度,≤5%/y
响应时间,风速,1S
响应时间,风向,1S
响应时间,温湿度,≤1s
响应时间,大气压力,≤1s
响应时间,噪声,≤1s
响应时间,PM10 PM2.5,≤90S
响应时间,CO2,≤90S
响应时间,光照强度,≤0.1s
输出信号,RS485输出,RS485(标准Modbus通讯协议)
输出信号,GPRS型,中国移动或中国联通的手机网络
输出信号,4G型,中国移动或中国联通或中国电信的手机网络


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,公司代号
FSXCS-,,,,超声波一体式气象站
,N01-,,,485通信（标准Modbus-RTU协议）
,GPRS-,,,采用GPRS方式上传数据
,4G-,,,采用4G模式上传数据
,,1-,,一体式壳体
,,,空,无内置电子指南针
,,,CP,内置电子指南针功能
