产品网址：http://hi-sensor.com/productinfo/966712.html
产品结构：root->空气质量变送器-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|空气质量变送器|无|PM2.5、PM10 的量程为 0~1000ug/m3，分辨率 1ug/m3；独有双频数据采集及自动标定技术，一致性可达±10%；采用先进的激光防衰减技术，保证设备长期稳定性。采用激光散射测量原理，通过独有的数据双频采集技术进行筛分得出单位体积内等效粒径的颗粒物粒子个数，并以科学独特的算法计算出单位体积内等效粒径的颗粒物质量浓度。|

直流供电（默认）,10~30V DC,10~30V DC.1,10~30V DC.2,10~30V DC.3
最大功耗,485输出,485输出,485输出,0.5W
最大功耗,电流输出,电流输出,电流输出,1.2W
最大功耗,电压输出,电压输出,电压输出,1.2W
变送器电路工作温湿度,-20℃~+60℃，0%RH~95%RH 非结露,-20℃~+60℃，0%RH~95%RH 非结露,-20℃~+60℃，0%RH~95%RH 非结露,-20℃~+60℃，0%RH~95%RH 非结露
分辨率,1ug/m3,1ug/m3,1ug/m3,1ug/m3
精度,"±10%(@500ug/m3,60%RH,25℃）","±10%(@500ug/m3,60%RH,25℃）","±10%(@500ug/m3,60%RH,25℃）","±10%(@500ug/m3,60%RH,25℃）"
测量范围,PM2.5,0~1000ug/m3,0~1000ug/m3,0~1000ug/m3
测量范围,PM10,0~1000ug/m3,0~1000ug/m3,0~1000ug/m3
响应速度,≤90S,≤90S,≤90S,≤90S
预热时间,≤2min,≤2min,≤2min,≤2min
输出信号,485信号输出、4~20mA电流输出、0~5V/0~10V电压输出,485信号输出、4~20mA电流输出、0~5V/0~10V电压输出,485信号输出、4~20mA电流输出、0~5V/0~10V电压输出,485信号输出、4~20mA电流输出、0~5V/0~10V电压输出
负载能力,电压输出,电压输出,输出电阻≤250Ω,输出电阻≤250Ω
负载能力,电流输出,电流输出,≤600Ω,≤600Ω


Unnamed: 1,Unnamed: 2,Unnamed: 3,公司代号
PM-,,,PM2.5空气质量变送器
,N01-,,485（Modbus协议）输出
,I20-,,4～20 mA电流输出
,V05-,,0～5V电压输出
,V10-,,0～10V电压输出
,,2,壁挂壳
,,BYH,百叶盒
