产品网址：http://www.rgbhz.com/en/list-80.html
产品结构：Yourlocation：Home->product

|产品名称|产品型号|功能描述|
|--|--|--|
|Outdoor direct H series LED|无|无|
|C Series LED Outdoor Display|无|无|
|High-end display plug-in F|无|无|
|High-end display plug-in K|无|无|
|A-series LED for traffic scree|无|无|
|Φ5card series LED for traf|无|无|
|Φ5 cardless LED for traffic|无|无|
|Various indicator series LED|无|无|

"Huizhou hongzheng photoelectricity co., ltd"
Tel: 0752-3189616 Contact: Mr. Zou 13717049880 javis.zou@rgbhz.com
"Huizhou hongzheng photoelectricity co., ltd Contact: Mr. Wu 13266202952 mac.wu@rgbhz.com"
"Address: No.3 Xinhua Avenue, Chen Jiang Street, Zhong Kai High-tech Zone, Huizhou City, Guangdong Province, Building 13, Yinong Technology Rural Revitalization Technology Industry Demonstration Park."
"Shenzhen Hongzheng Optoelectronics Co., Ltd. (Office) Address: Room 1005, Building 2, Shajing Innovation Smart Port Industrial Park, Baoan District, Shenzhen"
