产品网址：https://www.hitrendtech.com/products/detail?id=61
产品结构：首页->产品中心->HT5033

|产品名称|产品型号|功能描述|
|----|----|----|
|HT5033|无|专为新一代单相智能电表应用而开发，内核采用 32 位处理器，配以丰富 IP，满足电表应用对 MCU/计量器件的高工规要求，具有综合性价比及平台化优势，在低功耗方面性能突出，配有 79 个 GPIO、7 路 UART、10 个外部中断，LCD 支持多种段数，采用 LQFP100 封装，3 路 SPI、2 路 I2C|

Part NO.,HT5033,Supply Voltage,2.2V~5.5V
MCU,32位处理器,Flash (Bytes）,512K
SRAM (Bytes),64K,Metering Functions,Active Reactive Apparent Anti-Theft
ADC Inputs (Curr+Volt),2+1,Dynamic Range,>  5000:1
Vref TC (Typical),±10ppm/℃ (1.185V),PLL /HFRC /LFRC (Hz),39.3216M /9.8M /32.768K
External Crystal OSC (Hz),32.768K,TPS,±1℃
SPI,3,UART (7816),7 （2）
External Interrupt,10,LCD Driver (Com*Seg),内部电阻分压+BUF驱动：8x50、6x52、4x54；  Charge pump驱动：8x44、6x47、4x49
GPIO,79,Encrypt. & Rand.,ECC & AES 256/192/128
Isleep RTC On,2.8uA,Ihold RTC On,4.9uA
HRC,116uA,LRC,0.2uA
PLL,205uA,LCD,2uA
BOR,6uA,LVDIN,6uA
Package /Pins,LQFP /100,,
