产品网址：https://www.kunlunxin.com/product/2842.html
产品结构：root->昆仑芯AI加速卡RG800–昆仑芯（北京）科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|昆仑芯 AI 加速卡 RG800|无|基于昆仑芯自研的 XPU-R 架构，RG800 是一款定位于数据中心应用场景的 AI 加速卡，既可用于常规模型的训练，也可用于多业务并发的高性能 AI 推理应用，助力各行业实现降本增效，推进产业智能化升级。|

产品,昆仑芯AI加速卡RG800
架构,昆仑芯XPU-R
精度,"INT8/INT16, FP16/FP32"
算力,INT8: 256 TOPS  INT16: 128 TOPS  FP16: 128 TFLOPS  FP32: 32 TFLOPS
内存,32G GDDR6
访存带宽,512GB/s
编解码能力,140 路1080P@30FPS解码  30 路1080P@30FPS编码
系统互联,PCIe4.0 x16
ECC,支持
散热方式,被动
功耗,130W
规格,全高全长，单槽位
工作温度,0°C - 55°C
应用,训练，推理
开发工具,昆仑芯软件开发套件
