产品网址：https://www.trixontech.com/en/products/page/4
产品结构：root->ChinaProductsFactory,ProductsSupplier-Part4

|产品名称|产品型号|功能描述|
|----|----|----|
|QSFP28 LR4 10km|无|无|
|CFP2-LR4 Receiver|无|无|
|40G QSFP+ LR4|无|无|
|25G SFP28 300m|无|无|
|10G SFP+ SR/LR/ER/ZR|无|无|
|1.25G BIDI 40km|无|无|
|EPON OLT PX20+++|无|无|
|100G AOC|无|无|
|10G SFP+ DWDM|无|无|
|125M/155M Dual SC, 1310nm FP|无|无|
|1.25G SFP 120km|无|无|
|STM-1/OC-3 SFP|无|无|
|25G SFP28 BIDI ER|无|无|
|1.25G SFP SR/LR/ER/ZR|无|无|
|SGMII|无|无|
|10G SFP+ SR/LR/ER/ZR|无|无|
|10G SFP+ DWDM|无|无|
|10G SFP+ BIDI|无|无|
|40G QSFP+ LR4|无|无|
|QSFP28 ER4 Lite|无|无|
|QSFP28 SR4|无|无|
|25G SFP28 LR|无|无|
