产品网址：https://www.primarius-tech.com/products/engineering_service/yi-zhan-shi-IP-kai-fa.html
产品结构：root->概伦电子-一站式IP开发

|产品名称|产品型号|功能描述|
|--|--|--|
|SPICE 模型|无|基带建模、射频建模、自动化提取、验证评估|
|PDK|无|PCell 开发、PDK 验证|
|标准单元库|无|特征化、验证|
|电路设计平台|无|原理图设计、版图编辑、交互式物理验证、设计优化|
|电路仿真|无|SPICE 仿真器、FastSPICE 仿真器、混合信号仿真、波形查看分析|
|电路分析|无|动态和静态电路检查、良率分析、信号完整性分析、路径分析、功率及电源芯片设计验证、电源网络分布分析、ESD 验证|
|数字仿真|无|数字仿真|
|SoC 设计与验证|无|时序分析、设计布局规划、信号完整性、电源分析、ESD 验证、芯片封装连接验证|
|参数化测试|无|半导体参数测试、噪声测试、综合量测|
|一站式技术开发|无|晶圆测试、SPICE 建模、测试芯片设计、新器件、PDK 开发、IP 开发|
|一站式 IP 开发|无|IP 设计开发、存储编译器|
