产品网址：http://www.sinhovo.com/proinfo.aspx?id=14
产品结构：返回首页->产品中心->高精度测量类->全自动钢网检测/测量机->详细信息

|产品名称|产品型号|功能描述|
|----|----|----|
|全自动钢网检测/测量机|T 系列|全功能：开孔检测要求全覆盖；显微直观钢网孔壁观测；阶梯钢网厚度直观测量；高精度张力测量方案；全板开孔不良检查。高精度：高精度测量设备理念设计；大理石平台、全铸造龙门结构；高精度、高速度光栅尺反馈定位；3 条光栅尺，全闭环坐标定位技术；全板扫描检测技术（针对钢网多孔、破损、变形）；高分辨率进口相机、镜头。工艺研究窗口：虚拟印刷功能：钢网 GERBER 对比与分析；PCB GERBER 对比分析；PCB 实物扫描与对比；钢网实物扫描、检测、对比；以上四点全照合对比分析。|

全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.1,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.2,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.3,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.4,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.5,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.6
序号  SN,类型  Type,项目  Item,兴华炜  Sinhovo,兴华炜  Sinhovo,兴华炜  Sinhovo,兴华炜  Sinhovo
1,品牌  Brand,研发时间  Time to market,2011年世界首创  The world's first in 2011,2011年世界首创  The world's first in 2011,2011年世界首创  The world's first in 2011,2011年世界首创  The world's first in 2011
2,检测规格  Inspection specification,型号名称  Model,T80,T80,T100,T100
3,检测规格  Inspection specification,型号说明,500万像素  标准型,500万像素  标准型,1200万像素 高配,1200万像素 高配
4,检测规格  Inspection specification,检测用途  Inspection purpose,"新钢网开口精度、质量检测、旧钢网清洗效果检测、异物检测、张力测量、钢网精度对比等  New Stencil opening accuracy, quality inspection, old Stencil cleaning  effect detection, foreign object detection, tension measurement, Stencil  precision comparison, thickness measurement","新钢网开口精度、质量检测、旧钢网清洗效果检测、异物检测、张力测量、钢网精度对比等  New Stencil opening accuracy, quality inspection, old Stencil cleaning  effect detection, foreign object detection, tension measurement, Stencil  precision comparison, thickness measurement","新钢网开口精度、质量检测、旧钢网清洗效果检测、异物检测、张力测量、钢网精度对比等  New Stencil opening accuracy, quality inspection, old Stencil cleaning  effect detection, foreign object detection, tension measurement, Stencil  precision comparison, thickness measurement","新钢网开口精度、质量检测、旧钢网清洗效果检测、异物检测、张力测量、钢网精度对比等  New Stencil opening accuracy, quality inspection, old Stencil cleaning  effect detection, foreign object detection, tension measurement, Stencil  precision comparison, thickness measurement"
5,检测规格  Inspection specification,检测项目  Inspection content,"位置、尺寸、数量、异物、张力、毛刺、多孔  Position, size, precision, foreign body, tension, burr, porous","位置、尺寸、数量、异物、张力、毛刺、多孔  Position, size, precision, foreign body, tension, burr, porous","位置、尺寸、数量、异物、张力、毛刺、多孔  Position, size, precision, foreign body, tension, burr, porous","位置、尺寸、数量、异物、张力、毛刺、多孔  Position, size, precision, foreign body, tension, burr, porous"
6,检测规格  Inspection specification,整板多开孔检查  Full board multi-hole inspection,检查整板多开孔  Full plate multi-hole inspection,检查整板多开孔  Full plate multi-hole inspection,检查整板多开孔  Full plate multi-hole inspection,检查整板多开孔  Full plate multi-hole inspection
7,检测规格  Inspection specification,检测速度  Inspection speed,0.7~1s/FOV,0.7~1s/FOV,0.7~1.2s/FOV,0.7~1.2s/FOV
8,检查精度  Inspection accuracy,尺寸测量精度  Dimensional measurement accuracy,6.9~8.6μm  (相同FOV内解析度：0.345μm)  6.9~8.6μm (within the same FOV resolution: 0.345μm)  （一个像素尺寸）,6.9~8.6μm  (相同FOV内解析度：0.345μm)  6.9~8.6μm (within the same FOV resolution: 0.345μm)  （一个像素尺寸）,4.6~6.9μm (相同FOV内解析度：0.345um)  4.6~6.9μm (within the same FOV resolution: 0.345um)  （一个像素尺寸）,4.6~6.9μm (相同FOV内解析度：0.345um)  4.6~6.9μm (within the same FOV resolution: 0.345um)  （一个像素尺寸）
9,检查精度  Inspection accuracy,面积测量精度  Area measurement accuracy,<1%，GR&R<5%,<1%，GR&R<5%,<1%，GR&R<5%,<1%，GR&R<5%
