产品网址：https://www.embedway.com.cn/product/detail/363
产品结构：智能系统平台->智能计算->CPCI板卡->CPCI主板

|产品名称|产品型号|功能描述|
|----|----|----|
|CPCI 主板|CP6300|基于龙芯多核处理器 3A3000 及 7A1000 桥片设计开发的 CompactPCI 刀片型计算板，是标准 32 位 6U CPCI 计算板，丰富的 IO 接口引到 RTM 实现后出线加固设计，搭载昆仑 BIOS，中标麒麟 Linux/龙芯 Linux，满足业界安全可靠安全加固等需求。作为信息处理和控制平台，具备独特的安全性，适用于交通、能源等诸多行业的控制系统和关键任务应用系统。|

形态,6U CompactPCI 计算板（PICMG2.0）
处理器,龙芯3A3000 处理器（4个Core，1.2GHz）
芯片组,龙芯7A1000
内存,8GB DDR3表贴内存颗粒，工作速率1066MT/s  支持ECC，最大容量16GB
存储接口,4个SATA 2.0；其中板载mSATA和2.5寸SATA HDD，另2路SATA到RTM
网络接口,6路10/100/1000Base-T，2路到前面板，4路到RTM
USB接口,4路USB 2.0，2路到前面板，2路到RTM
显示接口,集显：1路VGA接口到前面板，1路VGA接口到RTM  独显：1路或2路VGA接口到前面板，1路可选择切换到RTM，1路DVI-D到RTM
串行接口,2路RS232到RTM  2路RS232/422/485到RTM  1路RS232到前面板DB9接口
串行接口,2路RS232到RTM  2路RS232/422/485到RTM  1路RS232到前面板DB9接口
其他接口,LPC，I2C，GPIO，PS/2
PCI总线,32bit 33MHz，支持3个周边卡
操作系统,中标麒麟桌面版、龙芯Linux
最大功率,<65W
尺寸,233.35mm x 160mm
环境,工作环境温度：-40 ~ 55ºC（注：配合整机实现）  存储环境温度：-55 ~ 85ºC
