产品网址：https://www.embedway.com.cn/product/detail/493
产品结构：智能系统平台->智能网络->网络安全平台->FW1800系列

|产品名称|产品型号|功能描述|
|----|----|----|
|网络安全平台|FW1800 系列|飞腾 8 核 D2000 处理器，主频 2.3GHz；4 个 DDR4-UDIMM 内存插槽，最大支持到 128GB；2 个千兆管理电口；支持 8 个网络扩展插槽，可扩展至 66 个网口；1 x RJ45 串口，2 x USB2.0；1 x CF，1 x mSATA，4 x SATA|

形态,2U标准机架式
处理器,D2000处理器(8个Core，2.3GHz)
内存,4个UDIMM DDR4槽位，最大支持容量128GB
扩展槽,内部：1路PCIe3.0扩展槽  面板：8路PCIe3.0扩展槽
存储,4个SATA3.0接口；1个CF卡接口；1个mSATA接口
网络,2路RJ45千兆电口
USB,2路USB 2.0
串口,1路RJ45串口
操作系统,银河麒麟、UOS
电源,ATX冗余电源设计，100 ~ 240 VAC/50 ~ 60Hz
尺寸,580mm x 435mm x 88mm
环境,工作环境温度：0 ~ 40ºC ；存储环境温度：-40 ~ 70ºC
选配件,支持4电、4光、8光、8电、4电4光、4万兆，2 x 40G等扩展卡
