产品网址：https://autochips.com/products.html?pro=mcu&rid=5
产品结构：root->产品服务_杰发科技-汽车电子芯片专业设计公司

|产品名称|产品型号|功能描述|
|--|--|--|
|汽车应用处理器|AC8025|无|
|汽车应用处理器|AC8015|无|
|汽车应用处理器|AC8257|无|
|车联网模组|AC8257|无|
|汽车应用处理器|AC8225|无|
|汽车应用处理器|AC8227L|无|
|车规级微控制器|AC7840x|高可靠性车规级 32 位 MCU，基于 ARM Cortex-M3 内核，拥有 256KB Flash,64KB RAM,2 路 CAN，LQFP64 和 LQFP80 两种封装。可靠性高，具备出色的 EMC/ESD 能力，主要应用于汽车电子和高可靠工业领域。功能安全：符合 ISO26262 ASIL-B，支持功能安全编译器；AUTOSAR：AUTOSAR 支持 V4.4，提供 MCAL 及配置工具，适配国内外主流三方 AUTOSAR 方案；信息安全：支持 SHE、支持通信加密及安全启动；高性能：Cortex-M4F 内核，120MHz 主频，1MB Code Flash, 支持双 Bank，支持 OTA，最大 128KB Data Flash；品质服务：单、双电机方案 Turnkey Solution，多种渠道的技术支持；高可靠性：符合 AEC-Q100 Grade1|
|车规级微控制器|AC7802x|低功耗小封装车规级 32 位 MCU，基于 ARM Cortex-M0+内核，资源精简，拥有 32KB Code Flash，2KB Data Flash，2KB RAM。与 AC7801x 同封装可硬件兼容设计，软件接口兼容，方便客户平台化选型，支持需求向上拓展。AC7802x 可应用于汽车电子传感器，温控、开关、车灯等车规 MCU 应用场景|
|车规级微控制器|AC7801x|高性价比车规级 32 位 MCU，基于 ARM Cortex-M0+内核，拥有 128KB Flash，20KB RAM，1 路 CAN-FD/CAN，QFN32 和 LQFP48 两种封装。集成除法均方根运算单元，适用于 BLDC 电机控制场景，已大量应用于汽车电子及电机控制等应用场景|
|车规级微控制器|AC781x|高可靠性车规级 32 位 MCU，基于 ARM Cortex-M3 内核，拥有 256KB Flash，64KB RAM，2 路 CAN，LQFP64 和 LQFP80 两种封装。可靠性高，具备出色的 EMC/ESD 能力，主要应用于汽车电子和高可靠工业领域|
|音频功率放大器|AC7325|车规级 ClassAB 类音频功率放大器芯片|
|胎压监测专用传感器芯片|AC5121|首款全集成高性能胎压监测专用传感器芯片|
|软件平台|AVM|成熟量产的完整解决方案，满足客户定制化需求|
|解决方案|电机算法|AutoChips 自主知识产权电机控制算法|
