产品网址：http://www.tang-sh.com/products_detail/1.html
产品结构：root->陀螺仪传感器，IMU和加速度计......-上海唐辉电子有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|陀螺仪传感器|XV7001BB、XV7011BB、XV7021BB、XV7181BB|角速度传感器，具有温度特性好、功耗低、成本低、稳定性好等特点，可用于扫地机器人、AGV 物流机器人等领域|
|GGPM01/02 陀螺仪模块|无|内置 XV7001BB 或 XV7011BB 单轴角速度传感器，为清扫机器人提供低成本、高可靠性的传感解决方案|
|高精度 MEMS 三轴陀螺仪/六轴陀螺仪|无|集成了三个单轴角速度传感器和 3 个单轴加速度传感器，用以同时精确测量三个方向的角速度和加速度变化|
|M-A352AD10 三轴加速度传感器|无|具有低噪声、高稳定、低功耗的技术特点，采用爱普生的 QMEMS 工艺技术制成，适用于各种大量程的应用|
|M-G370 等系列惯性测量单元（IMU）|无|核心参数达到光纤陀螺仪级别的高精度 MEMS 三轴陀螺仪/六轴陀螺仪，集成了 3 个单轴角速度传感器和 3 个单轴加速度传感器，用以同时精确测量三个方向的角速度和加速度变化|

型号,外部尺寸  [ mm ],检测轴,接口,电源电压  [ V ],工作温度  [ ℃ ],敏感性  [ °/·s ] Typ.,静止的时输出  [ °/·s ] Typ. @+25℃,检测范围[°/s]
XV7011BB,5.0 x 3.2x 1.3,1,SPI or I2C,2.7 ~3.6,-20 ~+80,280LSB ±5% (16位),±1 ( 0 LSB Typ. ),±100
XV7011BB,5.0 x 3.2x 1.3,1,SPI or I2C,1.65 ~3.6,-40 ~+85（定制）,71680LSB ±5% (24位),±1 ( 0 LSB Typ. ),±100
XV7001BB,5.0 x 3.2x 1.3,1,SPI or I2C,2.7 ~3.6,-20 ~+80,280LSB ±5% (16位),±1 ( 0 LSB Typ. ),±100
XV7001BB,5.0 x 3.2x 1.3,1,SPI or I2C,1.65 ~3.6,-20 ~+80,280LSB ±5% (16位),±1 ( 0 LSB Typ. ),±100
XV7021BB,5.0 x 3.2x 1.3,1,SPI or I2C,2.7 ~3.6,-20 ~+80,70LSB ±5% (16位),±1 ( 0 LSB Typ. ),±400
XV7021BB,5.0 x 3.2x 1.3,1,SPI or I2C,1.65 ~3.6,-20 ~+80,17920LSB ±5% (24位),±1 ( 0 LSB Typ. ),±400
XV7181BB,5.0 x 3.2x 1.3,1,SPI or I2C,2.7 ~3.6,-40 ~+85,264LSB ±5% (16位),±1 ( 0 LSB Typ. ),±460
XV7181BB,5.0 x 3.2x 1.3,1,SPI or I2C,1.65 ~3.6,-40 ~+85,67584LSB ±5% (24位),±1 ( 0 LSB Typ. ),±460


型号,测量范围  [°/s],零偏稳定性  [°/hr],误差  [deg/√hr],加速度范围  [G],接口,外部尺寸  [mm],工作温度  [°C]
M-G370PDF0,±450,0.8,0.06,±10,SPI/UART,24x24x10,-40 ~ +85
M-G366PDG0,±450,1.2,0.08,±4/10,SPI/UART,24x24x10,-40 ~ +85
M-G330PDG0,±400,3.0,0.1,±8/16,SPI/UART,24x24x10,-40 ~ +85
