产品网址：http://www.tobhj.com/?hjsb/19.html
产品结构：搜索您的位置：首页->产品中心->焊机设备->PMIG-500型双脉冲铝合金焊机-

|产品名称|产品型号|功能描述|
|--|--|--|
|PMIG-500 型双脉冲铝合金焊机|PMIG-500|焊接金属：纯铝、铝镁、铝硅、铝铜、铝锰、铝硅镁等铝合金，以及铸铝、生铝等。也可焊接：铜（紫铜、黄铜、青铜、白铜）、不锈钢、碳钢、铸铁、镀锌钢等工业金属。应用领域：铝油罐、铝化工罐、铝母线、铝散热器、铝电解槽、铝结构件等厚铝及铝合金的高效率焊接。主要特点：集双脉冲 MIG/MAG 焊、单脉冲 MIG/MAG 焊、CO2 气保焊、手弧焊四功能于一体；DSP 全数字化控制，进口核心器件，重工业型硬件配置，适合大电流长时间焊接，性能稳定，经久耐用；全中文操作菜单，人机互动界面好，内置焊接专家数据库，易操作，只需调节电流，其余参数自动匹配；一脉冲一滴脉冲电流，焊接无飞溅、无断弧、低热量输入，焊接成形好；全封闭式四轮驱动送丝机，弧压反馈技术，焊线可延长至 50 米，保证焊接电流电压的稳定；双脉冲焊接时，不带摆动即可焊出均匀的鱼鳞纹焊缝，大大降低焊工的手法要求和劳动强度；具有数据升级、控制、诊断与监测功能，可通过软件升级迅速满足客户适合工艺的要求；全方位的保护功能：具有恒压、恒流、欠压、欠流、过压、过流保护功能，保证机器稳定性及长寿命；能存储 40 组自定义焊接参数。|

产品型号,PMIG-500
输入电压,AC3～ 380V&plusmn;10% 50/60Hz
额定功率,20KVA
峰值/基值电流,20~500A
峰值/基值电压,10~40.0V
起弧/收弧电流,20~500A
起弧/收弧电压,10~40.0V
双脉冲频率,0.1~9.9Hz
占空比,10~90%
回烧时间,0.01~0.50S
回烧电压,10~40.0V
负载持续率,60%
焊丝直径,0.8、1.0、1.2、1.6mm
操作方式,二步、四步、特殊四步、点焊
绝缘/防护等级,H / IP21S
外形尺寸,560x300x530mm
重量,40KG
焊接厚度,0.8~300mm
