产品网址：http://en.tonewinner.com
产品结构：root->Amplifiers,Speakers|CustomStereoProducts|ToneWinner

|产品名称|产品型号|功能描述|
|--|--|--|
|Tonewinner AT-300 定制前置放大器|无|专业影院和音乐中心集成音频视频解码器，支持 9.3.4 设置，由美国 THX 公司认可的工程师开发设计，支持 4K 解码，杜比全景声、DTS:X 和 HDMI2.0 认证，可用于家庭、电影院和剧院，提供沉浸式 3D 高保真音效|
|Tonewinner AD-7300PA+ 7 声道 AV 功率音频放大器|无|7 声道高保真放大器，专为匹配 AD-7300HD 处理器而设计，具有过热、过载、过流、过压保护等多种保护功能，可为家庭影院系统提供可靠的性能|
|Tonewinner AD-8300PA 11 声道家庭影院音频纯功率放大器|无|11 声道高功率音频家庭影院放大器，具有特殊的输出功率设计，可为左、右和中声道提供 320W/8Ω，为其他八个声道提供 150W/8Ω，采用不同电路的优势，实现低失真和低功耗，在家庭影院中具有高声压和动态范围|
|Tonewinner AT-2000 OEM 音频功率 11.2 声道 Atmos AV 接收器放大器|无|高端家庭影院和卡拉 OK 集成放大器，支持杜比全景声和 DTS:X，向后兼容所有以前的声音格式，支持 OSD 层菜单、蓝牙、USB 等功能|
|Tonewinner AD-7300HD 批发家庭音频视频解码器前置放大器|无|音乐、剧院和卡拉 OK 集成音频视频处理器，支持杜比全景声、DTS:X、4K 解码，兼容 3D、HDR、杜比视觉等，支持 OSD 层菜单、蓝牙、USB 等功能|
|Tonewinner TJ-K8 木制 5 声道 AV 高保真落地式扬声器|无|高等级 AV/高保真兼容的 7 声道和 5 声道扬声器，由 Tone Winner 开发，与 Tone 高清晰度家庭影院配合使用，采用高密度材料制造，提供高保真音效|
|Tonewinner TD-8 7.1 AV 高保真立体声音质扬声器|无|高等级 AV/高保真兼容的 7 声道和 5 声道扬声器，由 Tone Winner 开发，与 Tone 高清晰度家庭影院配合使用，采用高密度材料制造，提供高保真音效|
|Tonewinner TJ-3 批发扬声器 AV 设计家庭影院系统扬声器|无|5.1/7.1 家庭影院音箱，专为现代时尚客厅设计，严格按照杜比私人影院音箱设计，提供高保真音效|
|Tonewinner AD-1PRE+ 高保真音频立体声 DSD 前置放大器|无|高端解码器，支持 CD、SACD、MP3、WMA 音频格式和 USB-Audio、唱片机 MM/MC、光纤、同轴连接，采用多腔室布局、平衡电路、DSD 解码和多个高级芯片，提供高保真音效|
|Tonewinner AD-3PRO+ 高保真音乐放大器|无|高保真放大器，具有高功率变压器和电容器，支持 A 类、AB 类和自动模式一键切换，支持 XLR、RCA、DSD 解码、MM/MC 唱片机和 USB 音频，满足发烧友和音频爱好者的需求，高音频采样率提供丰富和分析性的声音|
|Tonewinner BL-1 批发卡拉 OK 书架式家庭影院扬声器|无|专门为家庭影院开发的大型书架式扬声器，在唱歌方面表现出色|
|Tonewinner AD-2PRO+ 高保真 A 类集成放大器|无|A 类集成放大器，具有光纤、同轴、平衡、RCA、MM/MC 唱片机输入和低音炮平衡/不平衡输出，支持 A 类、AB 类和自动模式一键切换，提供高保真音效|
|Tonewinner AD-1PA+ 高保真纯放大器高功率高端放大器|无|高保真立体声放大器，具有 A/AB 类模式、高功率变压器、晶体管和电容器，是一款旗舰放大器，可与 AD-1PRE+处理器完美连接|
|Tonewinner AD-66DPRO 2.1 多功能 A 类集成高保真放大器|无|AD-66D 的升级版，具有新的 MM/MC 唱片机接口，蓝牙版本已升级到 5.0，并配备了新的移动 APP，保留了最受欢迎的功能|
|Tonewinner AT-01A 和 AT-01S 中国制造工厂带放大器的条形音箱|无|ToneWinner 的第二代 5.1.2 杜比全景声认证条形音箱，非常适合客厅，可放在桌子上或挂在电视下，简单自由|
|Tonewinner AT-100 HDMI 3D 4K Atmos DTS:X 声霸|无|Tonewinner 的第一代家庭影院声霸，支持杜比全景声技术，环绕效果出色，可让您的家像剧院一样，是一个 5.1.2 系统，内置放大器|
