产品网址：http://hymake.com/productSystem?active=2
产品结构：root->产品体系-海迈科技-建筑数据服务商

|产品名称|产品型号|功能描述|
|--|--|--|
|算量软件|爽算系列|应用于建设工程预算、招投标阶段、施工过程提量和结算阶段，支持 CAD 图纸导入与管理，快速识别底图图元，内嵌计算规则，实现快速计算及汇总|
|计价软件|无|提供便捷管理、高效编制、智能检查的功能，依托大数据服务，帮助造价人员积累知识经验，提升能力|
|BIM 产品|无|我国最早推行的清单计价软件之一，荣获“福建省名牌产品”，技术处于国内领先地位|
|造价会员制平台|无|面向所有造价从业人员推出的服务体系，提供全方位服务支持，让造价从业人员利用互联网和云技术对工程造价数据进行积累、存储和再利用|
|招投标评估评审软件|无|面向招标代理、评标专家和投标人，分别推出建设工程招投标的评标辅助系统及投标预评估系统|
|电子交易平台|海易招|为第三方主体打造的专有电子交易平台，通过云服务、移动交易，提供更安全、更简易、更快捷的交易服务|
|交易服务平台|无|满足公共资源交易技术规范的要求，为公共资源交易中心打造集信息化、电子化、智慧化服务能力于一身的服务平台|
|工程建设监管平台|无|以工程项目为主线，以建设工地为切入点，以工程质量安全为抓手，以信息技术为引领，构建一站式的建设工程质量安全一体化监管体系|
|电子档案平台|无|为建筑企业提供新型的文件管理方式，通过电子文件的形式取代纸质文件，节省时间，保证企业资料安全，结合电子签章及校验技术，使电子档案具有与纸质资料同等的法律效力|
|企业信用管理平台|无|为施工企业提供的企业级增值服务，助力施工企业落实主体责任、防范工程事故、降低信用丢分风险，提高企业行业竞争力|
|勘察设计管理平台|无|以“互联网+政务服务”为理念、“多审合一”为基础的信息管理平台，结合管理部门办公业务的特点，围绕行业管理、施工图管理全流程而创建|
|项目视频监管平台|无|通过建立建筑企业项目、专家、项目负责人、检查条款等数据库，利用项目现场视频监控系统，实现企业总部对各项目部的远程质量、安全检查，发现问题后在系统内发出责令整改单，项目部在系统内反馈整改情况，形成质量安全检查闭环|
|BIM 数字运维平台|无|以建筑为载体，以 BIM+GIS、物联网、云计算、大数据、人工智能等技术为支撑，面向各行业的各类建筑管理需求，为建筑或建筑群构建安全、绿色、智慧的空间环境，提升服务及运营效率，降低成本与能耗，提升信任度，打造精准贴身、灵活丰富的服务能力|
|商品房价格评估调控系统|无|以实现新建商品房价格评估的科学管理为目标，以成本估价法和市场比较法为指导思想，以信息化技术为手段，以合理成本为基础，以市场供求为导向，兼顾“国家、企业、消费者”三方利益，进行价格评估体系建设，打造指标分析法的房价评估模式。同时，系统并采用“价比+量比”双管齐下，进行评估动态修正，实现按区域、按项目科学、准确、合理指导新建商品房定价，完善市场调控体系，促进房地产业健康发展|
