产品网址：http://hymake.com/productSystem/coreProducts/BIMProduct
产品结构：root->海迈BIM产品详情页-海迈科技-建筑数据服务商

|产品名称|产品型号|功能描述|
|--|--|--|
|海迈 BIM 产品|无|将 BIM 技术和工程造价管理相结合，提供 BIM 量价一体化解决方案。方案以 BIM 平台为基础，并根据国内实际的建模习惯和需求首创 BIM 钢筋配筋法输入，可在软件模型上快速提取工程量，利用本地化计算规则一键汇总工程量，快速套清单定额，与计价软件无缝对接，实现量价一体，一模多用，易学易操作|
|海迈 BIM 族空间|无|免费族库管理软件，汇聚各大专业族文件，有近万免费族，支持一键载入 BIM 软件，快速简单|
|海迈 BIM 建模（土建）|无|土建快速建模软件，全面支持各种异型结构识别和转化，集成模型深化、调整等辅助功能|
|海迈 BIM 建模（机电）|无|机电快速建模软件，全面支持各种形式的管道连接，一键优化机电模型的管道翻弯、登高|
|海迈 BIM 建模（施工）|无|场地布置快速建模软件，可自动生成道路，一键布置路口，砌体排砖、用砖量统计一步搞定，全面支持安全文明检查|
|海迈 BIM 算量（土建）|无|土建钢筋一体化算量软件，支持全国清单和定额计算规则，一键创建房间和房间装修，实时查看构件钢筋三维和工程量|
|海迈 BIM 算量（机电）|无|一键套清单和定额、一键汇总计算工程量，快速准确；选中构件即可查看构件工程量；无缝对接海迈 BIM 计价软件|
|海迈 BIM 装饰装修|无|海迈 BIM 装饰装修软件提供了更加便捷的房间装修建模功能，同时对装修 BIM 模型的建模规范进行约定，提高算量的准确性。基于装饰工程的出图规范，实现装修 BIM 模型快速出图，提高施工图出图效率|
|海迈 BIM 施工进度成本可视化管理|无|海迈 BIM 施工进度成本可视化软件能对合同价、人工合同价、机械合同价、材料合同费等成本进行多视口、可视化动态模拟。将实际施工情况和计划进度通过模型进行进度复盘，分析偏差原因，实现进度成本的精细化管理|
|海迈 BIM 招投标|无|海迈 BIM 招投标系统把 BIM 技术引入建设工程招标投标过程，结合三维模型与成本、进度数据，以全新的五维视角，打造基于 BIM+大数据的招标投标模式，实现建设工程招标投标智能化、信息化、可视化变革；同时，探索与 GIS 的对接，将建筑物与地理空间融合，助力 CIM 体系建设|
