产品网址：http://www.lynuc.cn/pro_detail.aspx?cid=429&id=124
产品结构：首页->产品中心->驱动器->铼钠克PWM-L系列

|产品名称|产品型号|功能描述|
|--|--|--|
|驱动器|铼钠克 PWM-L 系列|高精度控制，高精度的电流检测及高精准的 PWM 的控制方式，使得电机具有更低的噪声，更小的电流纹波，更适用于直线电机、DD 马达等的应用；高稳定性，智能化的过载保护，时刻保证功率器件的安全运行，即使在恶劣的情况下也能保护硬件不失效，精度不降低，可以长期可靠工作；高响应，更高的电流环频率，能及时响应指令或负载的变化，更短的位置环周期，更有利于在高敏感的直线电机、DD 马达等的无传动机构的直驱系统中的精密应用|

项目,L04,L08,L20,L30,L50,L75
控制电源接口,单相  220V,单相  220V,单相  220V,单相  220V,单相  220V,单相  380V
主电源接口,三相  220V,三相  220V,三相  220V,三相  220V,三相  220V,三相  380V
容量,0.4KW,0.8KW,2KW,3KW,5KW,7.5KW
连续工作电流,3.0Arms,6.1Arms,18.5Arms,24.8Arms,35Arms,54.7Ams
电流检测范围  【Ao-p】,±16A,±32A,±128A,±128A,±188.24A,±  211.71A
标准  /  最大  PWM  频率,12kHz/20kHz,12kHz/20kHz,8kHz/20kHz,10kHz/20kHz,10kHz/20kHz,10kHz/20kHz
标准  /  最小死区时间,5us/2us,5us/2us,5us/2us,5us/2us,5us/2us,5us/2us
再生电阻,无内置  （可外置  40  Ω  ）,40Ω/80  W,32  Ω  /150W/  内置（可外置）,32  Ω  /150W/  内置（可外置）,18  Ω  /1000W/  外置,5  Ω  /1000W/  外置
控制电源,"单相  AC 220V,  -15%~+10%,50/60Hz  ,  0.5Arms","单相  AC 220V  ，  -15%~+10%,50/60Hz  ,  0.5Arms","单相  AC 220V,  -15%~+10%,  50/60Hz,0.5Arms","单相  AC  220V,  -15%~+10%,  50/60Hz,0.5Arms","单相  AC 220V,  -15%~+10%,  50/60Hz","单相  AC 380V,  15%~+10%,  50/60Hz"
主电源,"三相  AC 220V,-15%~+10%  50/60Hz","三相  AC 220V,-15%~+10%  50/60Hz","三相  AC 220V,  -15%~+10%  50/60Hz,15Arms","三相  AC 220V,  -15%~+10%  50/60Hz,15Arms","三相  AC 220V,  -15%~+10%  50/60Hz,31.8Arms","三相  AC 380V,  15%~+10%  50/60Hz"
控制方式,IGBT-PWM  方式（正弦波驱动）,IGBT-PWM  方式（正弦波驱动）,IGBT-PWM  方式（正弦波驱动）,IGBT-PWM  方式（正弦波驱动）,IGBT-PWM  方式（正弦波驱动）,IGBT-PWM  方式（正弦波驱动）
构造,标准基座安装,标准基座安装,标准基座安装,标准基座安装,标准基座安装,标准基座安装
运行时,0~50  ­  °C,0~50  ­  °C,0~50  ­  °C,0~50  ­  °C,0~50  ­  °C,0~50  ­  °C
不运行时,-20~85  ­  °C,-20~85  ­  °C,-20~85  ­  °C,-20~85  ­  °C,-20~85  ­  °C,-20~85  ­  °C


有问题咨询我们？
点击留言
