产品网址：http://www.lynuc.cn/pro_detail.aspx?cid=425&id=93&
产品结构：首页->产品中心->新品发布->U3E/U5E/U6A-

|产品名称|产品型号|功能描述|
|--|--|--|
|U3E/U5E/U6A 系列控制器|U3E、U5E、U6A|面向中高端加工系列设备，多通道、高性能、高指令密度。采用 EtherCAT 总线与其他设备相连，更加稳定简洁，传输速度也大大提高。机身小巧精致，功能强大，支持 PWM+方式控制，高电流回路频率，保证伺服响应。结构安全、稳定、可靠，机床面板可定制、可选触摸屏。支持直线电机、多种编码器反馈，具有高开放性，可搭载铼钠克 RTCP 五轴数控系统、不同型号的面板和各种功能的数控系统，具备通讯/网络功能，支持高速大容量 USB 接口设备、高速以太网络通讯、EtherCAT 总线控制、远程诊断、监控和调试，支持一个 RS485，一个 RS422/RS485 串口|

◎,☆,×
标配,选配,无


项目,项目.1,规格,U3E,U5E,U6A
控制单元,控制单元,控制单元,控制单元,控制单元,控制单元
主机,CPU  板,CPU  核心数,2,2,2
主机,CF  卡,数据盘,4G,4G,32G
主机,内存,Bytes,2G,2G,4G
主机,网络接口,100M  EtherCat,1,1,1
主机,网络接口,100M  EtherNET,1,1,1
主机,扩展串行接口,RS485,1  ☆,1  ☆,1  ☆
主机,扩展串行接口,RS422/485,1  ☆,1  ☆,1  ☆
主机,USB  接口,移动存储器接口,2,2,2
主机,SRAM,32Mbit,1,1,1
主机,OLED  显示屏,显示控制器运行状态,1,1,1
主机,铁电,1Mbit,1,1,1
轴卡,PCIE  通用伺服卡,UML-PCIE,1,1,1
轴卡,高响应  PWM  伺服,频率  /HZ,9K,16K,20K
轴卡,控制轴总数,伺服轴，主轴，辅助轴,16,16,16
轴卡,伺服轴类型,TMM  伺服轴数,0,1,6
轴卡,伺服轴类型,PWM/PWM+  控制轴数,3,6,6
轴卡,伺服轴类型,脉冲伺服轴数,8,8,8
轴卡,伺服轴类型,EtherCAT  总线型,6,6,6
轴卡,IO  接口,可连接  IOE  数,2,2,2
轴卡,SPD  接口,"主轴接口（脉冲，反馈  ,IO  ）",1,1,1
主轴,本地主轴,"脉冲输出，脉冲反馈  ,  4  点输出，  6  点输入",1,1,1
主轴,IOE  主轴,脉冲输出，脉冲反馈  4  点输出，  8  点输入  模拟量  2  路输出，  2  路输入,1,1,1
手轮,面板手轮,5  轴选，  X1  ，  X10  ，  X100,1,1,1
手轮,IOE  手轮,5  轴选，  X1  ，  X10  ，  X100,1,1,1
IOE,主轴接口，  IO  点,IOE  ：  24*2  输入，  16*2  输出,☆,☆,☆
IOE,主轴接口，  IO  点,可扩展通用主轴接口,☆,☆,☆
其它,其它,其它,其它,其它,其它
输入电源,输入电源,DC  24V,◎,◎,◎
输出电源,输出电源,DC  5V  过流保护,◎,◎,◎
电池规格,电池规格,3.6V  锂电池,◎,◎,◎
最大功率,最大功率,150W,◎,◎,◎
控制单元周围温度,控制单元周围温度,运行时：  0~58  度,◎,◎,◎
控制单元周围温度,控制单元周围温度,存储：  -10~60  度,◎,◎,◎
周围相对湿度  （无露、无霜）,周围相对湿度  （无露、无霜）,正常：≤  75%RH,◎,◎,◎
周围相对湿度  （无露、无霜）,周围相对湿度  （无露、无霜）,短期（一个月内）：≤  95%RH,◎,◎,◎
振动,振动,运行时：≤  0.5G,◎,◎,◎
振动,振动,不运行时：≤  1G,◎,◎,◎
电磁兼容发射,电磁兼容发射,"符合  EN55022  （  CISPR22  ）  ClassB,EN61000-3-2  ，  -3",◎,◎,◎
电磁兼容抗扰度,电磁兼容抗扰度,"符合  EN61000-4-2,3,4,5,6,8,11  ，  FN55024  ，  A  级轻工业标准",◎,◎,◎
尺寸,尺寸,336*110*167.6cm,◎,◎,◎
净重,净重,4.2KG,◎,◎,◎


有问题咨询我们？
点击留言
