产品网址：http://en.reactor-micro.com/erp/149.html
产品结构：root->RM9015CB_ERP_Lightingdriverchip_Products_ShaanxiReactorMicroelectronicsCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|ERP|无|无|
|Smart High Side Switch|无|24v 系统（商用车），12v 系统（乘用车）|
|Smart Low Side Switch|无|24v 系统（商用车），12v 系统（乘用车）|
|MOSFET Driver|无|无|
|Analog Multiplexer|无|无|
|Motor Drive|无|无|
|LED Driver(Automtive)|无|无|
|Automotive MOSFET|无|Automotive SGT MOSFET，Automotive SJ MOSFET|
|Envelope Tracking Power Module|无|无|
|Envelope Tracking Power Chip|无|无|
|APT BUCK Power Chip|无|无|
|BUCK BOOST power chip|无|无|
|Operational amplifier chip|无|无|
|Low pass filter chip|无|无|
|Primary edge feedback (PSR)|无|无|
|Secondary side feedback|无|无|
|Secondary Side Feedback (SSR)+QR|无|无|
|Synchronous Rectification (SRC)|无|无|
|SJ MOSFET|无|无|
|SGT MOSFET|无|无|
|Planar MOSFET|无|无|
|IGBT|无|无|
|SiC MOSFET|无|无|
|Single segment linear|无|无|
|Three segment linear|无|无|
|Four segment linear|无|无|
|ERP|无|无|
|Dual channel thyristor linear|无|无|
|Dual channel switch dimming/color adjustment|无|无|
|Dazzling RGB driver|无|无|
|Intelligent dimming|无|无|
|Remove strobe|无|无|
|Module Packaging Products|无|无|
|RM9015CB|无|无|
