产品网址：http://www.reactor-micro.com/cpzx.html
产品结构：root->24V系统（商用车）_陕西亚成微电子股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|智能高侧开关|24V 系统（商用车）|保护电⼦电路免受电击穿破坏（异常时的过电流）的元器件，内置保护电路和能量吸收电路，即使出现异常电能（异常时的过电流）也不会损坏，可在不损坏或劣化的前提下保护电路，被称为半导体保险丝，有助于构建免维护的系统|

产品型号,导通电阻  /RON(mΩ) TJ=25℃,导通电阻  /RON(mΩ) TJ=25℃.1,负载电流典型值  /IL(A),负载电流典型值  /IL(A).1,短路电流保护值  /IL(SC)(A),通道数量,封装,保护特性,诊断特性,是否符合车规要求
产品型号,Typ,Max,Nom,ISO,Typ,通道数量,封装,保护特性,诊断特性,是否符合车规要求
RM74090DQ,70,90,7.3/3.3,/,12,4,DSO-20,过压保护 过流限制 过温保护,状态反馈,是
RM77200TQ,200,/,1.5/1,/,9,4,TSSOP-24,过压保护 过流限制 过温保护,电流监测 故障反馈,是
RM77090DD,90,150,4.2/2.9,/,15,2,DFN9*6-14L,过压保护 过流限制 过温保护,状态反馈,是
RM77010DS,10,/,9,/,90(Min),1,DFN9*6-14L,过压保护 过流限制 过温保护,电流监测 故障反馈,是
RM77050DD,50,/,4.5/3,/,47,2,DFN9*6-14L,过压保护 过流限制 过温保护,电流监测 故障报告,是
RM76018TXS,18,23,7,21,70,1,TO-220NB-5L/TO-263-4L,过压保护 过流限制 过温保护,故障反馈,是
RM75150,150,200,1.4(Min),/,3,1,SOT-223/ESOP8,过压保护 过流限制 过温保护,/,是
RM75200,150,200,0.7(Min),/,1.2,1,SOT-223/ESOP8,过压保护 过流限制 过温保护,/,是
RM76220TS,130,220,/,1.6(Min),11,1,TO-263-4L,过压保护 过流限制 过温保护,故障反馈,是
RM7601KSS,800,1500,0.2,/,1.3,1,SOT-223,过压保护 过流限制 过温保护,/,是
RM77007TS,7.2,9,9.9(Min),44,90,1,TO-263-7L,过压保护 过流限制 过温保护,电流监测,是
RM77020TXS,15,23,6.5,22.5,25(Min),1,TO-252-4L/TO-263-5L,过压保护 过流限制 过温保护,电流监测 故障反馈,是
RM76003TS,2.8,3.6,25,115,220,1,TO-247-5L,过压保护 过流限制 过温保护,电流监测,是
RM77050DS,50,/,4.5,/,47,1,DFN9*6-14L,过压保护 过流限制 过温保护,电流监测 故障反馈,是
RM77030DS,31,/,6,/,74,1,DFN9*6-14L,过压保护 过流限制 过温保护,电流监测 故障报告,是
RM77030DD,30,/,6/4,/,70,2,DFN9*6-14L,过压保护 过流限制 过温保护,电流监测 故障报告,是
RM77060DD,60,/,3/2.3,/,11,2,DFN9*6-14L,过压保护 过流限制 过温保护,电流监测 故障报告,是
RM77100DD,100,/,2.6/2.2,/,25,2,DFN9*6-14L,过压保护 过流限制 过温保护,电流监测 故障报告,是
RM77090ES,90,130,2.9,/,12,1,ESOP8,过压保护 过流限制 过温保护,状态反馈,是
