产品网址：http://en.reactor-micro.com/cpzx.html
产品结构：root->24vSystem(CommercialVehicle)_ShaanxiReactorMicroelectronicsCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|Smart High Side Switch|24v System (Commercial Vehicle)|保护电气电路免受电气击穿损坏（异常情况下的过电流），结合半导体技术与内置保护电路和能量吸收电路，即使在异常电能（异常情况下的过电流）情况下也不会损坏，有助于构建免维护系统|

Model,RON(mΩ) TJ=25℃,RON(mΩ) TJ=25℃.1,IL(A),IL(A).1,IL(SC)(A),Channel,package,Protective  characteristics,diagnostic  characteristics,Design as  AEC-Q100
Model,Typ,Max,Nom,ISO,Typ,Channel,package,Protective  characteristics,diagnostic  characteristics,Design as  AEC-Q100
RM74090DQ,70,90,7.3/3.3,/,12,4,DSO-20,"overvoltage protection, overcurrent limit, overtemperature protection",State feedback,YES
RM77200TQ,200,/,1.5/1,/,9,4,TSSOP-24,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring, fault reporting",YES
RM77090ES,90,130,2.9,/,12,1,ESOP8,"overvoltage protection, overcurrent limit, overtemperature protection",State feedback,YES
RM77050DD,50,/,4.5/3,/,47,2,DFN9*6-14L,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring, fault reporting",YES
RM77010DS,10,/,9,/,90(Min),1,DFN9*6-14L,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring,fault reporting",YES
RM76018TXS,18,23,7,21,70,1,TO-220NB-5L/TO-263-4L,"overvoltage protection, overcurrent limit, overtemperature protection",fault reporting,YES
RM75150,150,200,1.4(Min),/,3,1,SOT-223/ESOP8,"overvoltage protection, overcurrent limit, overtemperature protection",/,YES
RM75200,150,200,0.7(Min),/,1.2,1,SOT-223/ESOP8,"overvoltage protection, overcurrent limit, overtemperature protection",/,YES
RM76220TS,130,220,/,1.6(Min),11,1,TO-263-4L,"overvoltage protection, overcurrent limit, overtemperature protection",fault reporting,YES
RM7601KSS,800,1500,0.2,/,1.3,1,SOT-223,"overvoltage protection, overcurrent limit, overtemperature protection",/,YES
RM77007TS,7.2,9,9.9(Min),44,90,1,TO-263-7L,"overvoltage protection, overcurrent limit, overtemperature protection",current monitoring,YES
RM77020TXS,15,23,6.5,22.5,25(Min),1,TO-252-4L/TO-263-5L,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring,fault reporting",YES
RM76003TS,2.8,3.6,25,115,220,1,TO-247-5L,"overvoltage protection, overcurrent limit, overtemperature protection",current monitoring,YES
RM77050DS,50,/,4.5,/,47,1,DFN9*6-14L,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring, fault reporting",YES
RM77030DS,31,/,6,/,74,1,DFN9*6-14L,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring, fault reporting",YES
RM77030DD,30,/,6/4,/,70,2,DFN9*6-14L,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring, fault reporting",YES
RM77060DD,60,/,3/2.3,/,11,2,DFN9*6-14L,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring, fault reporting",YES
RM77100DD,100,/,2.6/2.2,/,25,2,DFN9*6-14L,"overvoltage protection, overcurrent limit, overtemperature protection","current monitoring, fault reporting",YES
RM77090DD,90,150,4.2/2.9,/,15,2,DFN9*6-14L,"overvoltage protection, overcurrent limit, overtemperature protection",State feedback,YES
