产品网址：http://www.shwonsung.com/kr/product_detail.aspx?id=175
产品结构：root->제품소개-상해만생합금재료유한책임회사

|产品名称|产品型号|功能描述|
|----|----|----|
|파라듐 도금 동와이어|无|전도성 좋고 열 전도성 좋다<br>항산화 좋다 사용 수명 길다<br>2nd bond 성능이 좋다<br>고온고습 조건에서 신뢰성 좋다|

종류,특징,적용 범위
WS-PdCC,High performance,High density and amounts of pins
WS-AuPdCC,Good 2nd bond performance and workability,LED、IC Package (QFN、QFP、BGA、CSP、RGB)


직경,직경.1,연신률(%),연신률(%).1,파단 강도(gf),파단 강도(gf).1
mil,um,WS-PCC,WS-AuPCC,WS-PCC,WS-AuPCC
0.6,15,5-13,5-13,2-8,2-8
0.7,18,5-15,5-16,3-9,3-10
0.8,20,5-15,5-16,4-10,4-12
0.9,23,5-15,5-16,5-12,5-13
1.0,25,7-20,7-22,6-16,6-18
1.2,30,7-20,7-22,10-20,10-24
1.5,38,7-20,7-20,15-35,15-38
1.7,43,10-25,10-27,22-42,22-45
2.0,50,10-25,10-27,30-50,30-52



