产品网址：https://www.kunlunxin.com/product/2837.html
产品结构：root->昆仑芯AI加速卡R100–昆仑芯（北京）科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|昆仑芯 AI 加速卡 R100|R100|是一款基于昆仑芯 2 代芯片，半高半长形态的 AI 加速卡，为多样的边缘 AI 应用场景提供最优的性能及功耗比。搭载昆仑芯自研的 XPU-R 架构，继承了昆仑芯 2 代芯片的成熟软件栈，大大降低用户的适配及使用成本。作为一款低功耗、小体积的加速卡，可广泛应用在智慧零售、智能交通、智慧园区和智能制造等各类边缘推理场景，以实现更高效的 AI 推理计算。|

产品,昆仑芯AI加速卡R100,昆仑芯AI加速卡R100.1
架构,昆仑芯XPU-R,昆仑芯XPU-R
精度,"INT8/INT16, FP16/FP32","INT8/INT16, FP16/FP32"
算力,INT8: 128 TOPS  INT16: 64 TOPS  FP16: 64 TFLOPS,INT8: 170 TOPS  INT16: 85 TOPS  FP16: 85 TFLOPS
内存,12 GB GDDR6,12 GB GDDR6
访存带宽,384 GB/s,384 GB/s
系统互联,PCIe4.0 x 16,PCIe4.0 x 16
编码/解码能力,84路1080P@30FPS解码  27路1080P@30FPS编码,84路1080P@30FPS解码  27路1080P@30FPS编码
散热,被动,被动
ECC,支持,支持
功耗,75W,100W
工作温度,0°C - 55°C,0°C - 55°C
规格,半高半长，单槽位,半高半长，单槽位
开发工具,昆仑芯软件开发套件,昆仑芯软件开发套件
