产品网址：https://www.starpointcomm.com/list-1-1.html
产品结构：root->产品与系统_星河亮点|StarPoint-无线通信测试解决方案领导者

|产品名称|产品型号|功能描述|
|----|----|----|
|5G 全功能测试仪表平台|SP9500|无|
|新短距无线综测仪|SP9500Pro-SLT|无|
|通用生产型综合测试仪|SP9020|无|
|通用生产型综合测试仪|SP9010|无|
|终端生产综合测试仪|SP8011|无|
|综合测试系统|SP8630|无|
|LTE 终端 RRM 一致性测试系统|SP8200|无|
|LTE 终端射频一致性测试系统|SP8100|无|
|TD-SCDMA 终端 RRM 一致性测试系统|SP6200|无|
|TD-SCDMA 终端联合检测测试系统|TS6100|无|
|信道模拟器|SPC5|无|
|无线测试仪|SP8315|无|
|协议分析仪|SP8300C|无|
|TD-SCDMA 协议分析测试仪|SP6300|无|
|天地通多模移动通信综合测试仪|SP3610|无|
|通用软件无线电平台|SP2010|无|
|V2X 路侧 RSU 设备|SPG10|无|
|V2X 车载 OBU 设备|SPV10|无|
