产品网址：http://www.macmicst.com/index.php/product/product_info/24.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|整流桥模块|无|无|

Type,V  RRM  (V),I  D  (A),V  F  (V),I  FSM  (A),R  thJC  (℃/W),Packages,PDF资料
ALL  MMD200F200X  MMD160F200X  MMD100F200X  MMD100E200X  MMD70E200X  MMD50L160X  MMD70EB180X  MMD70EB160X  MMD100EB160X  MMD250FB180X  MMD250FB160X  MMD200FB160X  MMD150FB160X  MMD250F180X  MMD250F160X  MMD200F180X  MMD200F160X  MMD150F180X  MMD150F160X  MMD100E180X  MMD100E160X  MMD70E180X  MMD70E160X,ALL  2000  1600  1800,ALL  200  160  100  70  50  250  150,ALL  1.45  1.50  1.35  1.40  2.25  1.55,ALL  2000  1600  1000  700  500  2500  1500,ALL  0.09  0.11  0.15  0.18  0.20  0.08,ALL  DF  DE  DL  DEB  DFB,
MMD200F200X,2000,200,1.45,2000,0.09,DF,预览  下载
MMD160F200X,2000,160,1.50,1600,0.11,DF,预览  下载
MMD100F200X,2000,100,1.35,1000,0.15,DF,预览  下载
MMD100E200X,2000,100,1.35,1000,0.15,DE,预览  下载
MMD70E200X,2000,70,1.35,700,0.18,DE,预览  下载
MMD50L160X,1600,50,1.40,500,0.20,DL,预览  下载
MMD70EB180X,1800,70,2.25,700,0.18,DEB,预览  下载
MMD70EB160X,1600,70,1.35,700,0.18,DEB,预览  下载
MMD100EB160X,1600,100,1.35,1000,0.15,DEB,预览  下载
MMD250FB180X,1800,250,1.55,2500,0.08,DFB,预览  下载
MMD250FB160X,1600,250,1.55,2500,0.08,DFB,预览  下载
MMD200FB160X,1600,200,1.45,2000,0.09,DFB,预览  下载
MMD150FB160X,1600,150,1.45,1500,0.11,DFB,预览  下载
MMD250F180X,1800,250,1.55,2500,0.08,DF,预览  下载
MMD250F160X,1600,250,1.55,2500,0.08,DF,预览  下载
MMD200F180X,1800,200,1.45,2000,0.09,DF,预览  下载
MMD200F160X,1600,200,1.45,2000,0.09,DF,预览  下载
MMD150F180X,1800,150,1.45,1500,0.11,DF,预览  下载
MMD150F160X,1600,150,1.45,1500,0.11,DF,预览  下载
MMD100E180X,1800,100,1.35,1000,0.15,DE,预览  下载
MMD100E160X,1600,100,1.35,1000,0.15,DE,预览  下载
MMD70E180X,1800,70,1.35,700,0.18,DE,预览  下载
MMD70E160X,1600,70,1.35,700,0.18,DE,预览  下载
