产品网址：http://www.golden-chip.com/product-3.aspx
产品结构：您当前的位置：首页->产品中心->齿轮传感系列

|产品名称|产品型号|功能描述|
|--|--|--|
|齿轮传感器芯片|GH1922、GH1922U、GH1817、GH1835、GH1836|可以在 3.5~24V 的电压范围和-40~+150°C 的温度范围内稳定可靠地工作，GH1922U 属于国内独有的超薄封装设计，主要用于汽车的凸轮轴等速度传感的应用，小巧轻薄的封装外形更便于安装。具有灵敏度高、有效检测距离长、输出波形占空比稳定、差分霍尔传感器结构精度高的特点。可应用于曲轴、凸轮轴传感器、ABS 传感器、转数表与计数器等。|

产品型号,磁开关点,工作电压范围,检测距离,工作温度范围,封装形式,规格书下载
GH1837,/,4.2～30VDC,2.5mm,-40℃~150℃,TO-94S,规格书下载
GH1860,/,3.5～24VDC,1.0mm,-40℃~150℃,TO-94,规格书下载
GH1817,/,3.5～30VDC,1.0mm,-40℃~150℃,TO-92S/TO-94-iBB,规格书下载
GH1922,±11GS,3.5～24VDC,2.2mm,-40℃~150℃,TO-94,规格书下载
GH1922U,±11GS,3.5～24VDC,2.2mm,-40℃~150℃,TSIP-4L 超薄,规格书下载
GH1836,±7.5GS,3.5～24VDC,1.0mm,-40℃~150℃,TO-94,规格书下载
GH1835,±7.5GS,3.5～24VDC,1.5mm,-40℃~150℃,TO-94,规格书下载
GH1423,±120GS,3.8～30VDC,/,-40℃~150℃,TO-94,规格书下载
GH1428,±20GS,3.8～30VDC,/,-40℃~150℃,TO-94,规格书下载
GH1430,±130GS,3.8～30VDC,/,-40℃~150℃,TO-94/DFN4X4-10L,规格书下载
