产品网址：https://www.yes-lcd.com/product/197.html
产品结构：root->TN黑底亮字_YesOptoelectronics（Group）Co.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|TN 黑底亮字|无|无|

NO,Item,Item.1,Item.2,Symbol,Type,Unit
1,LCD Type,LCD Type,LCD Type,,TN,
2,Display,Display,Display,,Negative,
3,Viewing Angle,Viewing Angle,Viewing Angle,,6:00,
4,Polarizer Type,Polarizer Type,Polarizer Type,,T/H,
5,Duty,Duty,Duty,,1/4,
6,Bias,Bias,Bias,,1/3,
7,Response Time,Rising Time,Rising Time,Tr,25,mS
7,Response Time,Decay Time,Decay Time,Td,40,mS
8,Contrast Ratio  （  max  ）,Contrast Ratio  （  max  ）,Contrast Ratio  （  max  ）,CR,50,
9,Viewing Angle  (C  R  ≥10),Viewing Angle  (C  R  ≥10),12H  φ  =90  °,θ  1,10,deg
9,Viewing Angle  (C  R  ≥10),Viewing Angle  (C  R  ≥10),6H  φ  =270  °,θ  2,30,deg
9,Viewing Angle  (C  R  ≥10),Viewing Angle  (C  R  ≥10),3H  φ  =0  °,θ  3,45,deg
9,Viewing Angle  (C  R  ≥10),Viewing Angle  (C  R  ≥10),9H  φ  =180  °,θ  4,45,deg
