产品网址：http://doc.weihong.com.cn:8889/zh-cn/doc/laser/LS6800/cn/topic_mfr/product/system_intro.html
产品结构：root->产品简介

|产品名称|产品型号|功能描述|
|----|----|----|
|V15 双头双梁激光平面切割控制系统|LS6800A|基于在线切割系统与 EtherCAT 总线系统开发，采用双通道技术，自主研发的高性能激光切割系统。适用于纺织机械、电梯制造、厨房设备、电器设备和机箱机柜等行业。支持单通道和双通道加工模式，文件拆分自分配通道 1 和通道 2，双梁实时防撞，双梁异步加工，支持生产排单，批量加工。|

名称,数量,备注
激光软件,1套,提供软件安装包
PM95A  运动控制卡,1张,-
LambdaNE-04  控制器,1个,LambdaNE-04+EX33和Lambda21E-04+EX44二组合选其一即可，禁止混用。
EX33A  扩展端子板,2个,LambdaNE-04+EX33和Lambda21E-04+EX44二组合选其一即可，禁止混用。
Lambda21E-04  控制器,1个,LambdaNE-04+EX33和Lambda21E-04+EX44二组合选其一即可，禁止混用。
EX41A  扩展端子板,2个,LambdaNE-04+EX33和Lambda21E-04+EX44二组合选其一即可，禁止混用。
EX31A  扩展端子板,1个,数字拓展板，数量可选。
SE001随动仪放大器,2个,-
DB9M/F通讯线,4根,通讯线数量需根据端子板数量选择。
射频电缆线,2根,-
M16三芯航空插头拖链电缆线,2根,-


项目,说明
通道数,2个
轴数,共计10个轴  通道1：X/Y1/Y2/Z/W轴  通道2：X/Y1/Y2/Z/W轴  注：W轴为焦点轴
轴控制方式,EtherCAT总线通讯
轴控制模式,Z轴为速度控制模式，其他轴为轴位置控制
