产品网址：https://www.myrntec.com/rmes/140.html
产品结构：root->RMES500型_锐致远便携储能RMES系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|便携式储能电源|RMES500 型|适用于室内备电、户外露营、户外作业、汽车自驾游、紧急救援等多种应用场景。具有高品质汽车级电芯，磷酸铁鲤电池，安全耐用；市充/车充能/太阳能三种充电方式，灵活供电，高效续航；纯正正弦波输出，逆变效率更高，稳定可靠不伤电器；支持双向逆变技术，无需携带适配器，使用更方便；6 种输出接口，可供 9 台设备同时使用，满足不同用电需求；超大可视化彩屏，整机状态一目了然；支持无线充电，轻轻一放即可充电；自带蓝牙音箱，支持户外 K 歌；选配投影仪，支持户外观影；手机 APP 可操控，智能便捷；独立断电按钮，防止电量流失；隐藏式折叠提手设计，出行更便捷，收纳更方便；94V-0 级防火外壳，防触电保护门，安全可靠等功能。|

产品型号,产品型号.1,RS540
电池类型,电池类型,磷酸铁锂电芯
电池容量,电池容量,540wh
循环寿命,循环寿命,3000次(@25°C)
存储温度,存储温度,-20°C-55°C
使用温度,使用温度,-10°C-50°C
充电温度,充电温度,0°C-45°C
额定输出功率,额定输出功率,500W/220V/50HZ(中国版欧洲版)  500W/110V/60HZ(美国版、日本版)
逆变器,逆变器,正弦波
充电,市电充电/时间,220V180W-3个小时  110V180W-3个小时
充电,太阳板充电/时间,24V100W-5.5小时
充电,汽车充电/时间,12V60W-9个小时
输出,交流,2*AC220V 500W
输出,直流,4*USB 15W 1*12V5A 5525接口1*TypeC(PD60W)1*12V5A汽车点烟器  无线充电≤15w
外壳,外壳,ABS+PC
净重,净重,8kg
尺寸(长*宽*高),尺寸(长*宽*高),270*215*209mm
其他,其他,蓝牙音箱、APP控制、LED灯
